Time,N_numeric,R_numeric,N_analytical,R_analytical
0,10,0.2,10,0.2
0.1,10.02,0.2004,10.02,0.2004
0.2,10.04,0.200801,10.0401,0.200802
0.3,10.0601,0.201202,10.0602,0.201204
0.4,10.0802,0.201605,10.0803,0.201606
0.5,10.1004,0.202008,10.1005,0.20201
0.6,10.1206,0.202412,10.1207,0.202414
0.7,10.1408,0.202817,10.141,0.20282
0.8,10.1611,0.203222,10.1613,0.203226
0.9,10.1814,0.203629,10.1816,0.203633
1,10.2018,0.204036,10.202,0.20404
1.1,10.2222,0.204444,10.2224,0.204449
1.2,10.2427,0.204853,10.2429,0.204858
1.3,10.2631,0.205263,10.2634,0.205268
1.4,10.2837,0.205673,10.284,0.205679
1.5,10.3042,0.206085,10.3045,0.206091
1.6,10.3248,0.206497,10.3252,0.206504
1.7,10.3455,0.20691,10.3458,0.206917
1.8,10.3662,0.207324,10.3666,0.207331
1.9,10.3869,0.207738,10.3873,0.207746
2,10.4077,0.208154,10.4081,0.208162
2.1,10.4285,0.20857,10.4289,0.208579
2.2,10.4494,0.208987,10.4498,0.208996
2.3,10.4703,0.209405,10.4707,0.209415
2.4,10.4912,0.209824,10.4917,0.209834
2.5,10.5122,0.210244,10.5127,0.210254
2.6,10.5332,0.210664,10.5338,0.210675
2.7,10.5543,0.211086,10.5548,0.211097
2.8,10.5754,0.211508,10.576,0.21152
2.9,10.5965,0.211931,10.5971,0.211943
3,10.6177,0.212355,10.6184,0.212367
3.1,10.639,0.212779,10.6396,0.212792
3.2,10.6602,0.213205,10.6609,0.213218
3.3,10.6816,0.213631,10.6823,0.213645
3.4,10.7029,0.214059,10.7037,0.214073
3.5,10.7243,0.214487,10.7251,0.214502
3.6,10.7458,0.214916,10.7466,0.214931
3.7,10.7673,0.215345,10.7681,0.215361
3.8,10.7888,0.215776,10.7896,0.215793
3.9,10.8104,0.216208,10.8112,0.216225
4,10.832,0.21664,10.8329,0.216657
4.1,10.8537,0.217073,10.8546,0.217091
4.2,10.8754,0.217508,10.8763,0.217526
4.3,10.8971,0.217943,10.8981,0.217961
4.4,10.9189,0.218378,10.9199,0.218398
4.5,10.9408,0.218815,10.9417,0.218835
4.6,10.9626,0.219253,10.9636,0.219273
4.7,10.9846,0.219691,10.9856,0.219712
4.8,11.0065,0.220131,11.0076,0.220152
4.9,11.0285,0.220571,11.0296,0.220593
5,11.0506,0.221012,11.0517,0.221034
5.1,11.0727,0.221454,11.0738,0.221477
5.2,11.0949,0.221897,11.096,0.22192
5.3,11.117,0.222341,11.1182,0.222364
5.4,11.1393,0.222786,11.1405,0.22281
5.5,11.1616,0.223231,11.1628,0.223256
5.6,11.1839,0.223678,11.1851,0.223703
5.7,11.2062,0.224125,11.2075,0.22415
5.8,11.2287,0.224573,11.23,0.224599
5.9,11.2511,0.225022,11.2524,0.225049
6,11.2736,0.225472,11.275,0.225499
6.1,11.2962,0.225923,11.2975,0.225951
6.2,11.3188,0.226375,11.3202,0.226403
6.3,11.3414,0.226828,11.3428,0.226856
6.4,11.3641,0.227282,11.3655,0.227311
6.5,11.3868,0.227736,11.3883,0.227766
6.6,11.4096,0.228192,11.4111,0.228222
6.7,11.4324,0.228648,11.4339,0.228679
6.8,11.4553,0.229105,11.4568,0.229136
6.9,11.4782,0.229563,11.4798,0.229595
7,11.5011,0.230023,11.5027,0.230055
7.1,11.5241,0.230483,11.5258,0.230515
7.2,11.5472,0.230944,11.5488,0.230977
7.3,11.5703,0.231405,11.572,0.231439
7.4,11.5934,0.231868,11.5951,0.231903
7.5,11.6166,0.232332,11.6183,0.232367
7.6,11.6398,0.232797,11.6416,0.232832
7.7,11.6631,0.233262,11.6649,0.233298
