Time,Population
0,10
1,10.2
2,10.404
3,10.6121
4,10.8243
5,11.0408
6,11.2616
7,11.4869
8,11.7166
9,11.9509
10,12.1899
11,12.4337
12,12.6824
13,12.9361
14,13.1948
15,13.4587
16,13.7279
17,14.0024
18,14.2825
19,14.5681
20,14.8595
21,15.1567
22,15.4598
23,15.769
24,16.0844
25,16.4061
26,16.7342
27,17.0689
28,17.4102
29,17.7584
30,18.1136
31,18.4759
32,18.8454
33,19.2223
34,19.6068
35,19.9989
36,20.3989
37,20.8068
38,21.223
39,21.6474
40,22.0804
41,22.522
42,22.9724
43,23.4319
44,23.9005
45,24.3785
46,24.8661
47,25.3634
48,25.8707
49,26.3881
50,26.9159
51,27.4542
52,28.0033
53,28.5633
54,29.1346
55,29.7173
56,30.3116
57,30.9179
58,31.5362
59,32.1669
60,32.8103
61,33.4665
62,34.1358
63,34.8185
64,35.5149
65,36.2252
66,36.9497
67,37.6887
68,38.4425
69,39.2113
70,39.9955
71,40.7954
72,41.6113
73,42.4436
74,43.2924
75,44.1583
76,45.0414
77,45.9423
78,46.8611
79,47.7983
80,48.7543
81,49.7294
82,50.724
83,51.7384
84,52.7732
85,53.8287
86,54.9052
87,56.0033
88,57.1234
89,58.2659
90,59.4312
91,60.6198
92,61.8322
93,63.0688
94,64.3302
95,65.6168
96,66.9291
97,68.2677
98,69.6331
99,71.0257
100,72.4462
101,73.8952
102,75.3731
103,76.8805
104,78.4181
105,79.9865
106,81.5862
107,83.2179
108,84.8823
109,86.5799
110,88.3115
111,90.0777
112,91.8793
113,93.7168
114,95.5912
115,97.503
116,99.453
117,101.442
118,103.471
119,105.54
120,107.651
121,109.804
122,112
123,114.24
124,116.525
125,118.855
126,121.233
127,123.657
128,126.13
129,128.653
130,131.226
131,133.85
132,136.527
133,139.258
134,142.043
135,144.884
136,147.782
137,150.737
138,153.752
139,156.827
140,159.963
141,163.163
142,166.426
143,169.754
144,173.15
145,176.612
146,180.145
147,183.748
148,187.422
149,191.171
150,194.994
151,198.894
152,202.872
153,206.929
154,211.068
155,215.289
156,219.595
157,223.987
158,228.466
159,233.036
160,237.696
161,242.45
162,247.299
163,252.245
164,257.29
165,262.436
166,267.684
167,273.038
168,278.499
169,284.069
170,289.75
171,295.545
172,301.456
173,307.485
174,313.634
175,319.907
176,326.305
177,332.831
178,339.487
179,346.277
180,353.202
181,360.266
182,367.471
183,374.821
184,382.317
185,389.963
186,397.762
187,405.717
188,413.832
189,422.108
190,430.55
191,439.161
192,447.944
193,456.903
194,466.04
195,475.361
196,484.868
197,494.565
198,504.456
199,514.545
200,524.836
