Time,Population
0,10
1,10.2
2,10.404
3,10.6121
4,10.8243
5,11.0408
6,11.2616
7,11.4869
8,11.7166
9,11.9509
10,12.1899
11,12.4337
12,12.6824
13,12.9361
14,13.1948
15,13.4587
16,13.7279
17,14.0024
18,14.2825
19,14.5681
20,14.8595
21,15.1567
22,15.4598
23,15.769
24,16.0844
25,16.4061
26,16.7342
27,17.0689
28,17.4102
29,17.7584
30,18.1136
31,18.4759
32,18.8454
33,19.2223
34,19.6068
35,19.9989
36,20.3989
37,20.8069
38,21.223
39,21.6474
40,22.0804
41,22.522
42,22.9724
43,23.4319
44,23.9005
45,24.3785
46,24.8661
47,25.3634
48,25.8707
49,26.3881
50,26.9159
51,27.4542
52,28.0033
53,28.5633
54,29.1346
55,29.7173
56,30.3117
57,30.9179
58,31.5362
59,32.167
60,32.8103
61,33.4665
62,34.1358
63,34.8186
64,35.5149
65,36.2252
66,36.9497
67,37.6887
68,38.4425
69,39.2114
70,39.9956
71,40.7955
72,41.6114
73,42.4436
74,43.2925
75,44.1584
76,45.0415
77,45.9424
78,46.8612
79,47.7984
80,48.7544
81,49.7295
82,50.7241
83,51.7386
84,52.7733
85,53.8288
86,54.9054
87,56.0035
88,57.1235
89,58.266
90,59.4313
91,60.62
92,61.8324
93,63.069
94,64.3304
95,65.617
96,66.9293
97,68.2679
98,69.6333
99,71.0259
100,72.4465
101,73.8954
102,75.3733
103,76.8808
104,78.4184
105,79.9867
106,81.5865
107,83.2182
108,84.8826
109,86.5802
110,88.3118
111,90.0781
112,91.8796
113,93.7172
114,95.5916
115,97.5034
116,99.4535
117,101.443
118,103.471
119,105.541
120,107.652
121,109.805
122,112.001
123,114.241
124,116.526
125,118.856
126,121.233
127,123.658
128,126.131
129,128.654
130,131.227
131,133.851
132,136.528
133,139.259
134,142.044
135,144.885
136,147.783
137,150.738
138,153.753
139,156.828
140,159.965
141,163.164
142,166.427
143,169.756
144,173.151
145,176.614
146,180.146
147,183.749
148,187.424
149,191.173
150,194.996
151,198.896
152,202.874
153,206.931
154,211.07
155,215.291
156,219.597
157,223.989
158,228.469
159,233.038
160,237.699
161,242.453
162,247.302
163,252.248
164,257.293
165,262.439
166,267.688
167,273.042
168,278.502
169,284.072
170,289.754
171,295.549
172,301.46
173,307.489
174,313.639
175,319.912
176,326.31
177,332.836
178,339.493
179,346.283
180,353.208
181,360.272
182,367.478
183,374.827
184,382.324
185,389.971
186,397.77
187,405.725
188,413.84
189,422.117
190,430.559
191,439.17
192,447.954
193,456.913
194,466.051
195,475.372
196,484.879
197,494.577
198,504.468
199,514.558
200,524.849
