Time,Population
0,10
0.01,10.002
0.02,10.004
0.03,10.006
0.04,10.008
0.05,10.01
0.06,10.012
0.07,10.014
0.08,10.016
0.09,10.018
0.1,10.02
0.11,10.022
0.12,10.024
0.13,10.026
0.14,10.028
0.15,10.03
0.16,10.032
0.17,10.0341
0.18,10.0361
0.19,10.0381
0.2,10.0401
0.21,10.0421
0.22,10.0441
0.23,10.0461
0.24,10.0481
0.25,10.0501
0.26,10.0521
0.27,10.0541
0.28,10.0562
0.29,10.0582
0.3,10.0602
0.31,10.0622
0.32,10.0642
0.33,10.0662
0.34,10.0682
0.35,10.0702
0.36,10.0723
0.37,10.0743
0.38,10.0763
0.39,10.0783
0.4,10.0803
0.41,10.0823
0.42,10.0843
0.43,10.0864
0.44,10.0884
0.45,10.0904
0.46,10.0924
0.47,10.0944
0.48,10.0965
0.49,10.0985
0.5,10.1005
0.51,10.1025
0.52,10.1045
0.53,10.1066
0.54,10.1086
0.55,10.1106
0.56,10.1126
0.57,10.1146
0.58,10.1167
0.59,10.1187
0.6,10.1207
0.61,10.1227
0.62,10.1248
0.63,10.1268
0.64,10.1288
0.65,10.1308
0.66,10.1329
0.67,10.1349
0.68,10.1369
0.69,10.1389
0.7,10.141
0.71,10.143
0.72,10.145
0.73,10.1471
0.74,10.1491
0.75,10.1511
0.76,10.1531
0.77,10.1552
0.78,10.1572
0.79,10.1592
0.8,10.1613
0.81,10.1633
0.82,10.1653
0.83,10.1674
0.84,10.1694
0.85,10.1714
0.86,10.1735
0.87,10.1755
0.88,10.1775
0.89,10.1796
0.9,10.1816
0.91,10.1836
0.92,10.1857
0.93,10.1877
0.94,10.1898
0.95,10.1918
0.96,10.1938
0.97,10.1959
0.98,10.1979
0.99,10.2
1,10.202
1.01,10.204
1.02,10.2061
1.03,10.2081
1.04,10.2102
1.05,10.2122
1.06,10.2142
1.07,10.2163
1.08,10.2183
1.09,10.2204
1.1,10.2224
1.11,10.2245
1.12,10.2265
1.13,10.2286
1.14,10.2306
1.15,10.2326
1.16,10.2347
1.17,10.2367
1.18,10.2388
1.19,10.2408
1.2,10.2429
1.21,10.2449
1.22,10.247
1.23,10.249
1.24,10.2511
1.25,10.2531
1.26,10.2552
1.27,10.2572
1.28,10.2593
1.29,10.2613
1.3,10.2634
1.31,10.2654
1.32,10.2675
1.33,10.2695
1.34,10.2716
1.35,10.2737
1.36,10.2757
1.37,10.2778
1.38,10.2798
1.39,10.2819
1.4,10.2839
1.41,10.286
1.42,10.288
1.43,10.2901
1.44,10.2922
1.45,10.2942
1.46,10.2963
1.47,10.2983
1.48,10.3004
1.49,10.3025
1.5,10.3045
1.51,10.3066
1.52,10.3086
1.53,10.3107
1.54,10.3128
1.55,10.3148
1.56,10.3169
1.57,10.3189
1.58,10.321
1.59,10.3231
1.6,10.3251
1.61,10.3272
1.62,10.3293
1.63,10.3313
1.64,10.3334
1.65,10.3355
1.66,10.3375
1.67,10.3396
1.68,10.3417
1.69,10.3437
1.7,10.3458
1.71,10.3479
1.72,10.3499
1.73,10.352
1.74,10.3541
1.75,10.3562
1.76,10.3582
1.77,10.3603
1.78,10.3624
1.79,10.3644
1.8,10.3665
1.81,10.3686
1.82,10.3707
1.83,10.3727
1.84,10.3748
1.85,10.3769
1.86,10.379
1.87,10.381
1.88,10.3831
1.89,10.3852
1.9,10.3873
1.91,10.3894
1.92,10.3914
1.93,10.3935
1.94,10.3956
1.95,10.3977
1.96,10.3997
1.97,10.4018
1.98,10.4039
1.99,10.406
2,10.4081
2.01,10.4101
2.02,10.4122
2.03,10.4143
2.04,10.4164
2.05,10.4185
2.06,10.4206
2.07,10.4226
2.08,10.4247
2.09,10.4268
2.1,10.4289
2.11,10.431
2.12,10.4331
2.13,10.4352
2.14,10.4372
2.15,10.4393
2.16,10.4414
2.17,10.4435
2.18,10.4456
2.19,10.4477
2.2,10.4498
2.21,10.4519
2.22,10.454
2.23,10.456
2.24,10.4581
2.25,10.4602
2.26,10.4623
2.27,10.4644
2.28,10.4665
2.29,10.4686
2.3,10.4707
2.31,10.4728
2.32,10.4749
2.33,10.477
2.34,10.4791
2.35,10.4812
2.36,10.4833
2.37,10.4854
2.38,10.4875
2.39,10.4896
2.4,10.4917
2.41,10.4938
2.42,10.4959
2.43,10.498
2.44,10.5001
2.45,10.5022
2.46,10.5043
2.47,10.5064
2.48,10.5085
2.49,10.5106
2.5,10.5127
2.51,10.5148
2.52,10.5169
2.53,10.519
2.54,10.5211
2.55,10.5232
2.56,10.5253
2.57,10.5274
2.58,10.5295
2.59,10.5316
2.6,10.5337
2.61,10.5358
2.62,10.5379
2.63,10.54
2.64,10.5421
2.65,10.5442
2.66,10.5463
2.67,10.5485
2.68,10.5506
2.69,10.5527
2.7,10.5548
2.71,10.5569
2.72,10.559
2.73,10.5611
2.74,10.5632
2.75,10.5653
2.76,10.5675
2.77,10.5696
2.78,10.5717
2.79,10.5738
2.8,10.5759
2.81,10.578
2.82,10.5801
2.83,10.5823
2.84,10.5844
2.85,10.5865
2.86,10.5886
2.87,10.5907
2.88,10.5929
2.89,10.595
2.9,10.5971
2.91,10.5992
2.92,10.6013
2.93,10.6034
2.94,10.6056
2.95,10.6077
2.96,10.6098
2.97,10.6119
2.98,10.6141
2.99,10.6162
3,10.6183
3.01,10.6204
3.02,10.6225
3.03,10.6247
3.04,10.6268
3.05,10.6289
3.06,10.6311
3.07,10.6332
3.08,10.6353
3.09,10.6374
3.1,10.6396
3.11,10.6417
3.12,10.6438
3.13,10.6459
3.14,10.6481
3.15,10.6502
3.16,10.6523
3.17,10.6545
3.18,10.6566
3.19,10.6587
3.2,10.6609
3.21,10.663
3.22,10.6651
3.23,10.6673
3.24,10.6694
3.25,10.6715
3.26,10.6737
3.27,10.6758
3.28,10.6779
3.29,10.6801
3.3,10.6822
3.31,10.6843
3.32,10.6865
3.33,10.6886
3.34,10.6907
3.35,10.6929
3.36,10.695
3.37,10.6972
3.38,10.6993
3.39,10.7014
3.4,10.7036
3.41,10.7057
3.42,10.7079
3.43,10.71
3.44,10.7121
3.45,10.7143
3.46,10.7164
3.47,10.7186
3.48,10.7207
3.49,10.7229
3.5,10.725
3.51,10.7272
3.52,10.7293
3.53,10.7314
3.54,10.7336
3.55,10.7357
3.56,10.7379
3.57,10.74
3.58,10.7422
3.59,10.7443
3.6,10.7465
3.61,10.7486
3.62,10.7508
3.63,10.7529
3.64,10.7551
3.65,10.7572
3.66,10.7594
3.67,10.7615
3.68,10.7637
3.69,10.7658
3.7,10.768
3.71,10.7701
3.72,10.7723
3.73,10.7745
3.74,10.7766
3.75,10.7788
3.76,10.7809
3.77,10.7831
3.78,10.7852
3.79,10.7874
3.8,10.7895
3.81,10.7917
3.82,10.7939
3.83,10.796
3.84,10.7982
3.85,10.8003
3.86,10.8025
3.87,10.8047
3.88,10.8068
3.89,10.809
3.9,10.8111
3.91,10.8133
3.92,10.8155
3.93,10.8176
3.94,10.8198
3.95,10.822
3.96,10.8241
3.97,10.8263
3.98,10.8285
3.99,10.8306
4,10.8328
4.01,10.835
4.02,10.8371
4.03,10.8393
4.04,10.8415
4.05,10.8436
4.06,10.8458
4.07,10.848
4.08,10.8501
4.09,10.8523
4.1,10.8545
4.11,10.8566
4.12,10.8588
4.13,10.861
4.14,10.8632
4.15,10.8653
4.16,10.8675
4.17,10.8697
4.18,10.8718
4.19,10.874
4.2,10.8762
4.21,10.8784
4.22,10.8805
4.23,10.8827
4.24,10.8849
4.25,10.8871
4.26,10.8893
4.27,10.8914
4.28,10.8936
4.29,10.8958
4.3,10.898
4.31,10.9001
4.32,10.9023
4.33,10.9045
4.34,10.9067
4.35,10.9089
4.36,10.9111
4.37,10.9132
4.38,10.9154
4.39,10.9176
4.4,10.9198
4.41,10.922
4.42,10.9242
4.43,10.9263
4.44,10.9285
4.45,10.9307
4.46,10.9329
4.47,10.9351
4.48,10.9373
4.49,10.9395
4.5,10.9416
4.51,10.9438
4.52,10.946
4.53,10.9482
4.54,10.9504
4.55,10.9526
4.56,10.9548
4.57,10.957
4.58,10.9592
4.59,10.9614
4.6,10.9635
4.61,10.9657
4.62,10.9679
4.63,10.9701
4.64,10.9723
4.65,10.9745
4.66,10.9767
4.67,10.9789
4.68,10.9811
4.69,10.9833
4.7,10.9855
4.71,10.9877
4.72,10.9899
4.73,10.9921
4.74,10.9943
4.75,10.9965
4.76,10.9987
4.77,11.0009
4.78,11.0031
4.79,11.0053
4.8,11.0075
4.81,11.0097
4.82,11.0119
4.83,11.0141
4.84,11.0163
4.85,11.0185
4.86,11.0207
4.87,11.0229
4.88,11.0251
4.89,11.0273
4.9,11.0295
4.91,11.0317
4.92,11.0339
4.93,11.0361
4.94,11.0383
4.95,11.0406
4.96,11.0428
4.97,11.045
4.98,11.0472
4.99,11.0494
5,11.0516
5.01,11.0538
5.02,11.056
5.03,11.0582
5.04,11.0604
5.05,11.0627
5.06,11.0649
5.07,11.0671
5.08,11.0693
5.09,11.0715
5.1,11.0737
5.11,11.0759
5.12,11.0782
5.13,11.0804
5.14,11.0826
5.15,11.0848
5.16,11.087
5.17,11.0892
5.18,11.0915
5.19,11.0937
5.2,11.0959
5.21,11.0981
5.22,11.1003
5.23,11.1025
5.24,11.1048
5.25,11.107
5.26,11.1092
5.27,11.1114
5.28,11.1137
5.29,11.1159
5.3,11.1181
5.31,11.1203
5.32,11.1225
5.33,11.1248
5.34,11.127
5.35,11.1292
5.36,11.1314
5.37,11.1337
5.38,11.1359
5.39,11.1381
5.4,11.1404
5.41,11.1426
5.42,11.1448
5.43,11.147
5.44,11.1493
5.45,11.1515
5.46,11.1537
5.47,11.156
5.48,11.1582
5.49,11.1604
5.5,11.1627
5.51,11.1649
5.52,11.1671
5.53,11.1694
5.54,11.1716
5.55,11.1738
5.56,11.1761
5.57,11.1783
5.58,11.1805
5.59,11.1828
5.6,11.185
5.61,11.1872
5.62,11.1895
5.63,11.1917
5.64,11.194
5.65,11.1962
5.66,11.1984
5.67,11.2007
5.68,11.2029
5.69,11.2052
5.7,11.2074
5.71,11.2096
5.72,11.2119
5.73,11.2141
5.74,11.2164
5.75,11.2186
5.76,11.2208
5.77,11.2231
5.78,11.2253
5.79,11.2276
5.8,11.2298
5.81,11.2321
5.82,11.2343
5.83,11.2366
5.84,11.2388
5.85,11.2411
5.86,11.2433
5.87,11.2456
5.88,11.2478
5.89,11.2501
5.9,11.2523
5.91,11.2546
5.92,11.2568
5.93,11.2591
5.94,11.2613
5.95,11.2636
5.96,11.2658
5.97,11.2681
5.98,11.2703
5.99,11.2726
6,11.2748
6.01,11.2771
6.02,11.2793
6.03,11.2816
6.04,11.2839
6.05,11.2861
6.06,11.2884
6.07,11.2906
6.08,11.2929
6.09,11.2951
6.1,11.2974
6.11,11.2997
6.12,11.3019
6.13,11.3042
6.14,11.3064
6.15,11.3087
6.16,11.311
6.17,11.3132
6.18,11.3155
6.19,11.3178
6.2,11.32
6.21,11.3223
6.22,11.3245
6.23,11.3268
6.24,11.3291
6.25,11.3313
6.26,11.3336
6.27,11.3359
6.28,11.3381
6.29,11.3404
6.3,11.3427
6.31,11.3449
6.32,11.3472
6.33,11.3495
6.34,11.3518
6.35,11.354
6.36,11.3563
6.37,11.3586
6.38,11.3608
6.39,11.3631
6.4,11.3654
6.41,11.3677
6.42,11.3699
6.43,11.3722
6.44,11.3745
6.45,11.3768
6.46,11.379
6.47,11.3813
6.48,11.3836
6.49,11.3859
6.5,11.3881
6.51,11.3904
6.52,11.3927
6.53,11.395
6.54,11.3972
6.55,11.3995
6.56,11.4018
6.57,11.4041
6.58,11.4064
6.59,11.4087
6.6,11.4109
6.61,11.4132
6.62,11.4155
6.63,11.4178
6.64,11.4201
6.65,11.4223
6.66,11.4246
6.67,11.4269
6.68,11.4292
6.69,11.4315
6.7,11.4338
6.71,11.4361
6.72,11.4383
6.73,11.4406
6.74,11.4429
6.75,11.4452
6.76,11.4475
6.77,11.4498
6.78,11.4521
6.79,11.4544
6.8,11.4567
6.81,11.459
6.82,11.4612
6.83,11.4635
6.84,11.4658
6.85,11.4681
6.86,11.4704
6.87,11.4727
6.88,11.475
6.89,11.4773
6.9,11.4796
6.91,11.4819
6.92,11.4842
6.93,11.4865
6.94,11.4888
6.95,11.4911
6.96,11.4934
6.97,11.4957
6.98,11.498
6.99,11.5003
7,11.5026
7.01,11.5049
7.02,11.5072
7.03,11.5095
7.04,11.5118
7.05,11.5141
7.06,11.5164
7.07,11.5187
7.08,11.521
7.09,11.5233
7.1,11.5256
7.11,11.5279
7.12,11.5302
7.13,11.5325
7.14,11.5348
7.15,11.5371
7.16,11.5394
7.17,11.5417
7.18,11.5441
7.19,11.5464
7.2,11.5487
7.21,11.551
7.22,11.5533
7.23,11.5556
7.24,11.5579
7.25,11.5602
7.26,11.5625
7.27,11.5649
7.28,11.5672
7.29,11.5695
7.3,11.5718
7.31,11.5741
7.32,11.5764
7.33,11.5787
7.34,11.5811
7.35,11.5834
7.36,11.5857
7.37,11.588
7.38,11.5903
7.39,11.5926
7.4,11.595
7.41,11.5973
7.42,11.5996
7.43,11.6019
7.44,11.6042
7.45,11.6066
7.46,11.6089
7.47,11.6112
7.48,11.6135
7.49,11.6158
7.5,11.6182
7.51,11.6205
7.52,11.6228
7.53,11.6251
7.54,11.6275
7.55,11.6298
7.56,11.6321
7.57,11.6344
7.58,11.6368
7.59,11.6391
7.6,11.6414
7.61,11.6438
7.62,11.6461
7.63,11.6484
7.64,11.6507
7.65,11.6531
7.66,11.6554
7.67,11.6577
7.68,11.6601
7.69,11.6624
7.7,11.6647
7.71,11.6671
7.72,11.6694
7.73,11.6717
7.74,11.6741
7.75,11.6764
7.76,11.6787
7.77,11.6811
7.78,11.6834
7.79,11.6857
7.8,11.6881
7.81,11.6904
7.82,11.6928
7.83,11.6951
7.84,11.6974
7.85,11.6998
7.86,11.7021
7.87,11.7045
7.88,11.7068
7.89,11.7091
7.9,11.7115
7.91,11.7138
7.92,11.7162
7.93,11.7185
7.94,11.7208
7.95,11.7232
7.96,11.7255
7.97,11.7279
7.98,11.7302
7.99,11.7326
8,11.7349
8.01,11.7373
8.02,11.7396
8.03,11.742
8.04,11.7443
