Time,Population
0,10
0.1,10.02
0.2,10.04
0.3,10.0601
0.4,10.0802
0.5,10.1004
0.6,10.1206
0.7,10.1408
0.8,10.1611
0.9,10.1814
1,10.2018
1.1,10.2222
1.2,10.2427
1.3,10.2631
1.4,10.2837
1.5,10.3042
1.6,10.3248
1.7,10.3455
1.8,10.3662
1.9,10.3869
2,10.4077
2.1,10.4285
2.2,10.4494
2.3,10.4703
2.4,10.4912
2.5,10.5122
2.6,10.5332
2.7,10.5543
2.8,10.5754
2.9,10.5965
3,10.6177
3.1,10.639
3.2,10.6602
3.3,10.6816
3.4,10.7029
3.5,10.7243
3.6,10.7458
3.7,10.7673
3.8,10.7888
3.9,10.8104
4,10.832
4.1,10.8537
4.2,10.8754
4.3,10.8971
4.4,10.9189
4.5,10.9408
4.6,10.9626
4.7,10.9846
4.8,11.0065
4.9,11.0285
5,11.0506
5.1,11.0727
5.2,11.0949
5.3,11.117
5.4,11.1393
5.5,11.1616
5.6,11.1839
5.7,11.2062
5.8,11.2287
5.9,11.2511
6,11.2736
6.1,11.2962
6.2,11.3188
6.3,11.3414
6.4,11.3641
6.5,11.3868
6.6,11.4096
6.7,11.4324
6.8,11.4553
6.9,11.4782
7,11.5011
7.1,11.5241
7.2,11.5472
7.3,11.5703
7.4,11.5934
7.5,11.6166
7.6,11.6398
7.7,11.6631
7.8,11.6864
7.9,11.7098
8,11.7332
8.1,11.7567
8.2,11.7802
8.3,11.8038
8.4,11.8274
8.5,11.851
8.6,11.8747
8.7,11.8985
8.8,11.9223
8.9,11.9461
9,11.97
9.1,11.994
9.2,12.0179
9.3,12.042
9.4,12.0661
9.5,12.0902
9.6,12.1144
9.7,12.1386
9.8,12.1629
9.9,12.1872
10,12.2116
10.1,12.236
10.2,12.2605
10.3,12.285
10.4,12.3096
10.5,12.3342
10.6,12.3589
10.7,12.3836
10.8,12.4083
10.9,12.4332
11,12.458
11.1,12.4829
11.2,12.5079
11.3,12.5329
11.4,12.558
11.5,12.5831
11.6,12.6083
11.7,12.6335
11.8,12.6588
11.9,12.6841
12,12.7094
12.1,12.7349
12.2,12.7603
12.3,12.7859
12.4,12.8114
12.5,12.837
12.6,12.8627
12.7,12.8884
12.8,12.9142
12.9,12.9401
13,12.9659
13.1,12.9919
13.2,13.0178
13.3,13.0439
13.4,13.07
13.5,13.0961
13.6,13.1223
13.7,13.1485
13.8,13.1748
13.9,13.2012
14,13.2276
14.1,13.2541
14.2,13.2806
14.3,13.3071
14.4,13.3337
14.5,13.3604
14.6,13.3871
14.7,13.4139
14.8,13.4407
14.9,13.4676
15,13.4945
15.1,13.5215
15.2,13.5486
15.3,13.5757
15.4,13.6028
15.5,13.63
15.6,13.6573
15.7,13.6846
15.8,13.712
15.9,13.7394
16,13.7669
16.1,13.7944
16.2,13.822
16.3,13.8496
16.4,13.8773
16.5,13.9051
16.6,13.9329
16.7,13.9608
16.8,13.9887
16.9,14.0167
17,14.0447
17.1,14.0728
17.2,14.1009
17.3,14.1291
17.4,14.1574
17.5,14.1857
17.6,14.2141
17.7,14.2425
17.8,14.271
17.9,14.2995
18,14.3281
18.1,14.3568
18.2,14.3855
18.3,14.4143
18.4,14.4431
18.5,14.472
18.6,14.5009
18.7,14.5299
18.8,14.559
18.9,14.5881
19,14.6173
19.1,14.6465
19.2,14.6758
19.3,14.7052
19.4,14.7346
19.5,14.7641
19.6,14.7936
19.7,14.8232
19.8,14.8528
19.9,14.8825
20,14.9123
20.1,14.9421
20.2,14.972
20.3,15.0019
20.4,15.0319
20.5,15.062
20.6,15.0921
20.7,15.1223
20.8,15.1526
20.9,15.1829
21,15.2132
21.1,15.2437
21.2,15.2741
21.3,15.3047
21.4,15.3353
21.5,15.366
21.6,15.3967
21.7,15.4275
21.8,15.4584
21.9,15.4893
22,15.5203
22.1,15.5513
22.2,15.5824
22.3,15.6136
22.4,15.6448
22.5,15.6761
22.6,15.7074
22.7,15.7388
22.8,15.7703
22.9,15.8019
23,15.8335
23.1,15.8651
23.2,15.8969
23.3,15.9287
23.4,15.9605
23.5,15.9924
23.6,16.0244
23.7,16.0565
23.8,16.0886
23.9,16.1208
24,16.153
24.1,16.1853
24.2,16.2177
24.3,16.2501
24.4,16.2826
24.5,16.3152
24.6,16.3478
24.7,16.3805
24.8,16.4133
24.9,16.4461
25,16.479
25.1,16.5119
25.2,16.545
25.3,16.5781
25.4,16.6112
25.5,16.6444
25.6,16.6777
25.7,16.7111
25.8,16.7445
25.9,16.778
26,16.8115
26.1,16.8452
26.2,16.8789
26.3,16.9126
26.4,16.9464
26.5,16.9803
26.6,17.0143
26.7,17.0483
26.8,17.0824
26.9,17.1166
27,17.1508
27.1,17.1851
27.2,17.2195
27.3,17.2539
27.4,17.2884
27.5,17.323
27.6,17.3577
27.7,17.3924
27.8,17.4272
27.9,17.462
28,17.4969
28.1,17.5319
28.2,17.567
28.3,17.6021
28.4,17.6373
28.5,17.6726
28.6,17.708
28.7,17.7434
28.8,17.7789
28.9,17.8144
29,17.85
29.1,17.8857
29.2,17.9215
29.3,17.9574
29.4,17.9933
29.5,18.0293
29.6,18.0653
29.7,18.1014
29.8,18.1376
29.9,18.1739
30,18.2103
30.1,18.2467
30.2,18.2832
30.3,18.3198
30.4,18.3564
30.5,18.3931
30.6,18.4299
30.7,18.4668
30.8,18.5037
30.9,18.5407
31,18.5778
31.1,18.6149
31.2,18.6522
31.3,18.6895
31.4,18.7268
31.5,18.7643
31.6,18.8018
31.7,18.8394
31.8,18.8771
31.9,18.9149
32,18.9527
32.1,18.9906
32.2,19.0286
32.3,19.0666
32.4,19.1048
32.5,19.143
32.6,19.1813
32.7,19.2196
32.8,19.2581
32.9,19.2966
33,19.3352
33.1,19.3738
33.2,19.4126
33.3,19.4514
33.4,19.4903
33.5,19.5293
33.6,19.5684
33.7,19.6075
33.8,19.6467
33.9,19.686
34,19.7254
34.1,19.7648
34.2,19.8044
34.3,19.844
34.4,19.8837
