Time,N_numeric,R_numeric,N_analytical,R_analytical,Error_N,Error_R
0,10,0.2,10,0.2,0,0
0.5,10.1,0.202,10.1005,0.20201,0.000501671,1.00334e-05
1,10.201,0.20402,10.202,0.20404,0.0010134,2.0268e-05
1.5,10.303,0.20606,10.3045,0.206091,0.00153534,3.07068e-05
2,10.406,0.208121,10.4081,0.208162,0.00206764,4.13528e-05
2.5,10.5101,0.210202,10.5127,0.210254,0.00261046,5.22093e-05
3,10.6152,0.212304,10.6184,0.212367,0.00316396,6.32792e-05
3.5,10.7214,0.214427,10.7251,0.214502,0.00372829,7.45658e-05
4,10.8286,0.216571,10.8329,0.216657,0.00430362,8.60724e-05
4.5,10.9369,0.218737,10.9417,0.218835,0.00489011,9.78022e-05
5,11.0462,0.220924,11.0517,0.221034,0.00548793,0.000109759
5.5,11.1567,0.223134,11.1628,0.223256,0.00609724,0.000121945
6,11.2683,0.225365,11.275,0.225499,0.00671821,0.000134364
6.5,11.3809,0.227619,11.3883,0.227766,0.00735103,0.000147021
7,11.4947,0.229895,11.5027,0.230055,0.00799586,0.000159917
7.5,11.6097,0.232194,11.6183,0.232367,0.00865287,0.000173057
8,11.7258,0.234516,11.7351,0.234702,0.00932226,0.000186445
8.5,11.843,0.236861,11.853,0.237061,0.0100042,0.000200084
9,11.9615,0.239229,11.9722,0.239443,0.0106989,0.000213977
9.5,12.0811,0.241622,12.0925,0.24185,0.0114065,0.000228129
10,12.2019,0.244038,12.214,0.244281,0.0121272,0.000242544
10.5,12.3239,0.246478,12.3368,0.246736,0.0128612,0.000257224
11,12.4472,0.248943,12.4608,0.249215,0.0136087,0.000272174
11.5,12.5716,0.251433,12.586,0.25172,0.0143699,0.000287398
12,12.6973,0.253947,12.7125,0.25425,0.015145,0.0003029
12.5,12.8243,0.256486,12.8403,0.256805,0.0159342,0.000318684
13,12.9526,0.259051,12.9693,0.259386,0.0167377,0.000334754
13.5,13.0821,0.261642,13.0996,0.261993,0.0175557,0.000351115
14,13.2129,0.264258,13.2313,0.264626,0.0183885,0.000367769
14.5,13.345,0.266901,13.3643,0.267285,0.0192361,0.000384722
15,13.4785,0.26957,13.4986,0.269972,0.0200989,0.000401978
15.5,13.6133,0.272265,13.6343,0.272685,0.0209771,0.000419542
