Time,N_numeric,R_numeric,N_analytical,R_analytical,Error_N,Error_R
0,10,0.2,10,0.2,0,0
1,10.2,0.204,10.202,0.20404,0.0020134,4.0268e-05
2,10.404,0.20808,10.4081,0.208162,0.00410774,8.21548e-05
3,10.6121,0.212242,10.6184,0.212367,0.00628547,0.000125709
4,10.8243,0.216486,10.8329,0.216657,0.00854908,0.000170982
5,11.0408,0.220816,11.0517,0.221034,0.0109011,0.000218023
6,11.2616,0.225232,11.275,0.225499,0.0133443,0.000266886
7,11.4869,0.229737,11.5027,0.230055,0.0158813,0.000317626
8,11.7166,0.234332,11.7351,0.234702,0.0185149,0.000370298
9,11.9509,0.239019,11.9722,0.239443,0.0212479,0.000424959
10,12.1899,0.243799,12.214,0.244281,0.0240834,0.000481668
11,12.4337,0.248675,12.4608,0.249215,0.0270242,0.000540484
12,12.6824,0.253648,12.7125,0.25425,0.0300736,0.000601471
13,12.9361,0.258721,12.9693,0.259386,0.0332346,0.000664691
14,13.1948,0.263896,13.2313,0.264626,0.0365105,0.00073021
15,13.4587,0.269174,13.4986,0.269972,0.0399047,0.000798094
16,13.7279,0.274557,13.7713,0.275426,0.0434206,0.000868412
17,14.0024,0.280048,14.0495,0.28099,0.0470617,0.000941234
18,14.2825,0.285649,14.3333,0.286666,0.0508317,0.00101663
19,14.5681,0.291362,14.6228,0.292457,0.0547342,0.00109468
20,14.8595,0.297189,14.9182,0.298365,0.058773,0.00117546
21,15.1567,0.303133,15.2196,0.304392,0.0629521,0.00125904
22,15.4598,0.309196,15.5271,0.310541,0.0672755,0.00134551
23,15.769,0.31538,15.8407,0.316815,0.0717472,0.00143494
24,16.0844,0.321687,16.1607,0.323215,0.0763715,0.00152743
25,16.4061,0.328121,16.4872,0.329744,0.0811528,0.00162306
26,16.7342,0.334684,16.8203,0.336406,0.0860954,0.00172191
27,17.0689,0.341377,17.1601,0.343201,0.0912039,0.00182408
28,17.4102,0.348205,17.5067,0.350135,0.0964829,0.00192966
29,17.7584,0.355169,17.8604,0.357208,0.101937,0.00203875
30,18.1136,0.362272,18.2212,0.364424,0.107572,0.00215144
31,18.4759,0.369518,18.5893,0.371786,0.113392,0.00226785
32,18.8454,0.376908,18.9648,0.379296,0.119403,0.00238806
33,19.2223,0.384446,19.3479,0.386958,0.125609,0.00251219
34,19.6068,0.392135,19.7388,0.394776,0.132017,0.00264034
35,19.9989,0.399978,20.1375,0.402751,0.138632,0.00277263
36,20.3989,0.407977,20.5443,0.410887,0.145459,0.00290917
37,20.8069,0.416137,20.9594,0.419187,0.152504,0.00305008
38,21.223,0.42446,21.3828,0.427655,0.159774,0.00319549
39,21.6474,0.432949,21.8147,0.436294,0.167275,0.0033455
40,22.0804,0.441608,22.2554,0.445108,0.175013,0.00350025
41,22.522,0.45044,22.705,0.4541,0.182994,0.00365988
42,22.9724,0.459449,23.1637,0.463273,0.191225,0.0038245
43,23.4319,0.468638,23.6316,0.472632,0.199713,0.00399427
44,23.9005,0.478011,24.109,0.48218,0.208466,0.00416931
45,24.3785,0.487571,24.596,0.491921,0.217489,0.00434978
46,24.8661,0.497322,25.0929,0.501858,0.226791,0.00453582
47,25.3634,0.507269,25.5998,0.511996,0.236379,0.00472758
48,25.8707,0.517414,26.117,0.522339,0.246261,0.00492522
49,26.3881,0.527762,26.6446,0.532891,0.256444,0.00512889
50,26.9159,0.538318,27.1828,0.543656,0.266938,0.00533876
51,27.4542,0.549084,27.7319,0.554639,0.27775,0.00555499
52,28.0033,0.560066,28.2922,0.565843,0.288888,0.00577777
53,28.5633,0.571267,28.8637,0.577274,0.300362,0.00600725
54,29.1346,0.582692,29.4468,0.588936,0.312181,0.00624362
55,29.7173,0.594346,30.0417,0.600833,0.324354,0.00648707
56,30.3117,0.606233,30.6485,0.612971,0.336889,0.00673778
57,30.9179,0.618358,31.2677,0.625354,0.349798,0.00699595
58,31.5362,0.630725,31.8993,0.637987,0.363089,0.00726178
59,32.167,0.643339,32.5437,0.650875,0.376774,0.00753547
60,32.8103,0.656206,33.2012,0.664023,0.390861,0.00781723
61,33.4665,0.66933,33.8719,0.677438,0.405363,0.00810727
62,34.1358,0.682717,34.5561,0.691123,0.42029,0.00840581
63,34.8186,0.696371,35.2542,0.705084,0.435654,0.00871307
64,35.5149,0.710299,35.9664,0.719328,0.451465,0.0090293
65,36.2252,0.724505,36.693,0.733859,0.467736,0.00935471
66,36.9497,0.738995,37.4342,0.748684,0.484478,0.00968956
67,37.6887,0.753775,38.1904,0.763809,0.501705,0.0100341
68,38.4425,0.76885,38.9619,0.779239,0.519428,0.0103886
69,39.2114,0.784227,39.749,0.79498,0.537661,0.0107532
70,39.9956,0.799912,40.552,0.81104,0.556417,0.0111283
71,40.7955,0.81591,41.3712,0.827424,0.575711,0.0115142
72,41.6114,0.832228,42.207,0.844139,0.595554,0.0119111
73,42.4436,0.848873,43.0596,0.861192,0.615963,0.0123193
74,43.2925,0.86585,43.9295,0.878589,0.636952,0.012739
75,44.1584,0.883167,44.8169,0.896338,0.658536,0.0131707
76,45.0415,0.90083,45.7223,0.914445,0.68073,0.0136146
77,45.9424,0.918847,46.6459,0.932918,0.703551,0.014071
78,46.8612,0.937224,47.5882,0.951764,0.727013,0.0145403
79,47.7984,0.955968,48.5496,0.970991,0.751135,0.0150227
80,48.7544,0.975088,49.5303,0.990606,0.775933,0.0155187
81,49.7295,0.99459,50.5309,1.01062,0.801424,0.0160285
82,50.7241,1.01448,51.5517,1.03103,0.827626,0.0165525
83,51.7386,1.03477,52.5931,1.05186,0.854558,0.0170912
84,52.7733,1.05547,53.6556,1.07311,0.882238,0.0176448
85,53.8288,1.07658,54.7395,1.09479,0.910686,0.0182137
86,54.9054,1.09811,55.8453,1.11691,0.939921,0.0187984
87,56.0035,1.12007,56.9734,1.13947,0.969963,0.0193993
88,57.1235,1.14247,58.1244,1.16249,1.00083,0.0200167
89,58.266,1.16532,59.2986,1.18597,1.03255,0.0206511
90,59.4313,1.18863,60.4965,1.20993,1.06514,0.0213029
91,60.62,1.2124,61.7186,1.23437,1.09863,0.0219725
92,61.8324,1.23665,62.9654,1.25931,1.13303,0.0226605
93,63.069,1.26138,64.2374,1.28475,1.16836,0.0233673
94,64.3304,1.28661,65.535,1.3107,1.20466,0.0240933
95,65.617,1.31234,66.8589,1.33718,1.24195,0.024839
96,66.9293,1.33859,68.2096,1.36419,1.28025,0.0256051
97,68.2679,1.36536,69.5875,1.39175,1.31959,0.0263918
98,69.6333,1.39267,70.9933,1.41987,1.35999,0.0271999
99,71.0259,1.42052,72.4274,1.44855,1.40149,0.0280298
100,72.4465,1.44893,73.8906,1.47781,1.4441,0.028882
