Time,N_numeric,R_numeric,N_analytical,R_analytical,Error_N,Error_R
0,10,0.2,10,0.2,0,0
0.1,10.02,0.2004,10.02,0.2004,2.00133e-05,4.00267e-07
0.2,10.04,0.200801,10.0401,0.200802,4.01068e-05,8.02135e-07
0.3,10.0601,0.201202,10.0602,0.201204,6.02805e-05,1.20561e-06
0.4,10.0802,0.201605,10.0803,0.201606,8.05349e-05,1.6107e-06
0.5,10.1004,0.202008,10.1005,0.20201,0.00010087,2.0174e-06
0.6,10.1206,0.202412,10.1207,0.202414,0.000121286,2.42573e-06
0.7,10.1408,0.202817,10.141,0.20282,0.000141784,2.83568e-06
0.8,10.1611,0.203222,10.1613,0.203226,0.000162363,3.24726e-06
0.9,10.1814,0.203629,10.1816,0.203633,0.000183024,3.66047e-06
1,10.2018,0.204036,10.202,0.20404,0.000203767,4.07533e-06
1.1,10.2222,0.204444,10.2224,0.204449,0.000224592,4.49184e-06
1.2,10.2427,0.204853,10.2429,0.204858,0.000245499,4.90999e-06
1.3,10.2631,0.205263,10.2634,0.205268,0.00026649,5.3298e-06
1.4,10.2837,0.205673,10.284,0.205679,0.000287563,5.75127e-06
1.5,10.3042,0.206085,10.3045,0.206091,0.00030872,6.1744e-06
1.6,10.3248,0.206497,10.3252,0.206504,0.00032996,6.59921e-06
1.7,10.3455,0.20691,10.3458,0.206917,0.000351284,7.02569e-06
1.8,10.3662,0.207324,10.3666,0.207331,0.000372693,7.45385e-06
1.9,10.3869,0.207738,10.3873,0.207746,0.000394185,7.8837e-06
2,10.4077,0.208154,10.4081,0.208162,0.000415762,8.31523e-06
2.1,10.4285,0.20857,10.4289,0.208579,0.000437423,8.74847e-06
2.2,10.4494,0.208987,10.4498,0.208996,0.00045917,9.1834e-06
2.3,10.4703,0.209405,10.4707,0.209415,0.000481002,9.62004e-06
2.4,10.4912,0.209824,10.4917,0.209834,0.000502919,1.00584e-05
2.5,10.5122,0.210244,10.5127,0.210254,0.000524923,1.04985e-05
2.6,10.5332,0.210664,10.5338,0.210675,0.000547012,1.09402e-05
2.7,10.5543,0.211086,10.5548,0.211097,0.000569188,1.13838e-05
2.8,10.5754,0.211508,10.576,0.21152,0.00059145,1.1829e-05
2.9,10.5965,0.211931,10.5971,0.211943,0.000613799,1.2276e-05
3,10.6177,0.212355,10.6184,0.212367,0.000636235,1.27247e-05
3.1,10.639,0.212779,10.6396,0.212792,0.000658758,1.31752e-05
3.2,10.6602,0.213205,10.6609,0.213218,0.000681369,1.36274e-05
3.3,10.6816,0.213631,10.6823,0.213645,0.000704068,1.40814e-05
3.4,10.7029,0.214059,10.7037,0.214073,0.000726855,1.45371e-05
3.5,10.7243,0.214487,10.7251,0.214502,0.00074973,1.49946e-05
3.6,10.7458,0.214916,10.7466,0.214931,0.000772694,1.54539e-05
3.7,10.7673,0.215345,10.7681,0.215361,0.000795747,1.59149e-05
3.8,10.7888,0.215776,10.7896,0.215793,0.000818889,1.63778e-05
3.9,10.8104,0.216208,10.8112,0.216225,0.00084212,1.68424e-05
4,10.832,0.21664,10.8329,0.216657,0.000865441,1.73088e-05
4.1,10.8537,0.217073,10.8546,0.217091,0.000888852,1.7777e-05
4.2,10.8754,0.217508,10.8763,0.217526,0.000912354,1.82471e-05
4.3,10.8971,0.217943,10.8981,0.217961,0.000935945,1.87189e-05
4.4,10.9189,0.218378,10.9199,0.218398,0.000959628,1.91926e-05
4.5,10.9408,0.218815,10.9417,0.218835,0.000983402,1.9668e-05
4.6,10.9626,0.219253,10.9636,0.219273,0.00100727,2.01453e-05
4.7,10.9846,0.219691,10.9856,0.219712,0.00103122,2.06245e-05
4.8,11.0065,0.220131,11.0076,0.220152,0.00105527,2.11054e-05
4.9,11.0285,0.220571,11.0296,0.220593,0.00107941,2.15882e-05
5,11.0506,0.221012,11.0517,0.221034,0.00110364,2.20729e-05
5.1,11.0727,0.221454,11.0738,0.221477,0.00112797,2.25594e-05
5.2,11.0949,0.221897,11.096,0.22192,0.00115239,2.30478e-05
5.3,11.117,0.222341,11.1182,0.222364,0.0011769,2.3538e-05
5.4,11.1393,0.222786,11.1405,0.22281,0.0012015,2.40301e-05
5.5,11.1616,0.223231,11.1628,0.223256,0.0012262,2.45241e-05
5.6,11.1839,0.223678,11.1851,0.223703,0.001251,2.50199e-05
5.7,11.2062,0.224125,11.2075,0.22415,0.00127588,2.55177e-05
5.8,11.2287,0.224573,11.23,0.224599,0.00130087,2.60173e-05
5.9,11.2511,0.225022,11.2524,0.225049,0.00132594,2.65188e-05
6,11.2736,0.225472,11.275,0.225499,0.00135111,2.70223e-05
6.1,11.2962,0.225923,11.2975,0.225951,0.00137638,2.75276e-05
6.2,11.3188,0.226375,11.3202,0.226403,0.00140174,2.80349e-05
6.3,11.3414,0.226828,11.3428,0.226856,0.0014272,2.85441e-05
6.4,11.3641,0.227282,11.3655,0.227311,0.00145276,2.90552e-05
6.5,11.3868,0.227736,11.3883,0.227766,0.00147841,2.95682e-05
6.6,11.4096,0.228192,11.4111,0.228222,0.00150416,3.00832e-05
6.7,11.4324,0.228648,11.4339,0.228679,0.00153,3.06001e-05
6.8,11.4553,0.229105,11.4568,0.229136,0.00155595,3.11189e-05
6.9,11.4782,0.229563,11.4798,0.229595,0.00158199,3.16398e-05
7,11.5011,0.230023,11.5027,0.230055,0.00160813,3.21625e-05
7.1,11.5241,0.230483,11.5258,0.230515,0.00163436,3.26873e-05
7.2,11.5472,0.230944,11.5488,0.230977,0.0016607,3.3214e-05
7.3,11.5703,0.231405,11.572,0.231439,0.00168713,3.37427e-05
7.4,11.5934,0.231868,11.5951,0.231903,0.00171367,3.42734e-05
7.5,11.6166,0.232332,11.6183,0.232367,0.0017403,3.4806e-05
7.6,11.6398,0.232797,11.6416,0.232832,0.00176703,3.53407e-05
7.7,11.6631,0.233262,11.6649,0.233298,0.00179387,3.58773e-05
7.8,11.6864,0.233729,11.6883,0.233765,0.0018208,3.6416e-05
7.9,11.7098,0.234196,11.7117,0.234233,0.00184783,3.69567e-05
8,11.7332,0.234665,11.7351,0.234702,0.00187497,3.74994e-05
8.1,11.7567,0.235134,11.7586,0.235172,0.0019022,3.80441e-05
8.2,11.7802,0.235604,11.7821,0.235643,0.00192954,3.85908e-05
8.3,11.8038,0.236075,11.8057,0.236115,0.00195698,3.91396e-05
8.4,11.8274,0.236548,11.8294,0.236587,0.00198452,3.96904e-05
8.5,11.851,0.237021,11.853,0.237061,0.00201216,4.02433e-05
8.6,11.8747,0.237495,11.8768,0.237536,0.00203991,4.07982e-05
8.7,11.8985,0.23797,11.9006,0.238011,0.00206776,4.13552e-05
8.8,11.9223,0.238446,11.9244,0.238488,0.00209571,4.19143e-05
8.9,11.9461,0.238923,11.9483,0.238965,0.00212377,4.24754e-05
9,11.97,0.2394,11.9722,0.239443,0.00215193,4.30386e-05
9.1,11.994,0.239879,11.9961,0.239923,0.00218019,4.36039e-05
9.2,12.0179,0.240359,12.0202,0.240403,0.00220856,4.41712e-05
9.3,12.042,0.24084,12.0442,0.240884,0.00223704,4.47407e-05
9.4,12.0661,0.241321,12.0683,0.241367,0.00226561,4.53123e-05
9.5,12.0902,0.241804,12.0925,0.24185,0.0022943,4.5886e-05
9.6,12.1144,0.242288,12.1167,0.242334,0.00232309,4.64617e-05
9.7,12.1386,0.242772,12.141,0.242819,0.00235198,4.70397e-05
9.8,12.1629,0.243258,12.1653,0.243305,0.00238099,4.76197e-05
9.9,12.1872,0.243744,12.1896,0.243792,0.00241009,4.82019e-05
10,12.2116,0.244232,12.214,0.244281,0.00243931,4.87862e-05
10.1,12.236,0.24472,12.2385,0.24477,0.00246863,4.93727e-05
10.2,12.2605,0.24521,12.263,0.24526,0.00249806,4.99613e-05
10.3,12.285,0.2457,12.2875,0.245751,0.0025276,5.0552e-05
10.4,12.3096,0.246191,12.3121,0.246243,0.00255725,5.1145e-05
10.5,12.3342,0.246684,12.3368,0.246736,0.002587,5.17401e-05
10.6,12.3589,0.247177,12.3615,0.24723,0.00261687,5.23374e-05
10.7,12.3836,0.247672,12.3862,0.247725,0.00264684,5.29368e-05
10.8,12.4083,0.248167,12.411,0.24822,0.00267692,5.35385e-05
10.9,12.4332,0.248663,12.4359,0.248717,0.00270712,5.41423e-05
11,12.458,0.249161,12.4608,0.249215,0.00273742,5.47484e-05
11.1,12.4829,0.249659,12.4857,0.249714,0.00276783,5.53566e-05
11.2,12.5079,0.250158,12.5107,0.250214,0.00279836,5.59671e-05
11.3,12.5329,0.250659,12.5358,0.250715,0.00282899,5.65798e-05
11.4,12.558,0.25116,12.5609,0.251217,0.00285974,5.71947e-05
11.5,12.5831,0.251662,12.586,0.25172,0.00289059,5.78119e-05
11.6,12.6083,0.252166,12.6112,0.252224,0.00292156,5.84313e-05
11.7,12.6335,0.25267,12.6364,0.252729,0.00295265,5.90529e-05
11.8,12.6588,0.253175,12.6617,0.253235,0.00298384,5.96768e-05
11.9,12.6841,0.253682,12.6871,0.253742,0.00301515,6.0303e-05
12,12.7094,0.254189,12.7125,0.25425,0.00304657,6.09314e-05
12.1,12.7349,0.254697,12.7379,0.254759,0.00307811,6.15621e-05
12.2,12.7603,0.255207,12.7634,0.255269,0.00310976,6.21951e-05
12.3,12.7859,0.255717,12.789,0.25578,0.00314152,6.28304e-05
12.4,12.8114,0.256229,12.8146,0.256292,0.0031734,6.34679e-05
12.5,12.837,0.256741,12.8403,0.256805,0.00320539,6.41078e-05
12.6,12.8627,0.257254,12.866,0.257319,0.0032375,6.475e-05
12.7,12.8884,0.257769,12.8917,0.257834,0.00326972,6.53944e-05
12.8,12.9142,0.258285,12.9175,0.258351,0.00330206,6.60412e-05
12.9,12.9401,0.258801,12.9434,0.258868,0.00333452,6.66904e-05
13,12.9659,0.259319,12.9693,0.259386,0.00336709,6.73418e-05
13.1,12.9919,0.259837,12.9953,0.259905,0.00339978,6.79956e-05
13.2,13.0178,0.260357,13.0213,0.260426,0.00343259,6.86518e-05
13.3,13.0439,0.260878,13.0474,0.260947,0.00346551,6.93103e-05
13.4,13.07,0.261399,13.0735,0.261469,0.00349856,6.99712e-05
13.5,13.0961,0.261922,13.0996,0.261993,0.00353172,7.06344e-05
13.6,13.1223,0.262446,13.1259,0.262517,0.003565,7.13e-05
13.7,13.1485,0.262971,13.1521,0.263043,0.0035984,7.1968e-05
13.8,13.1748,0.263497,13.1785,0.26357,0.00363192,7.26383e-05
13.9,13.2012,0.264024,13.2049,0.264097,0.00366556,7.33111e-05
14,13.2276,0.264552,13.2313,0.264626,0.00369931,7.39863e-05
14.1,13.2541,0.265081,13.2578,0.265156,0.00373319,7.46639e-05
14.2,13.2806,0.265611,13.2843,0.265687,0.00376719,7.53438e-05
14.3,13.3071,0.266142,13.3109,0.266218,0.00380131,7.60263e-05
14.4,13.3337,0.266675,13.3376,0.266751,0.00383556,7.67111e-05
14.5,13.3604,0.267208,13.3643,0.267285,0.00386992,7.73984e-05
14.6,13.3871,0.267743,13.391,0.267821,0.00390441,7.80881e-05
14.7,13.4139,0.268278,13.4178,0.268357,0.00393901,7.87803e-05
14.8,13.4407,0.268815,13.4447,0.268894,0.00397375,7.94749e-05
14.9,13.4676,0.269352,13.4716,0.269432,0.0040086,8.0172e-05
15,13.4945,0.269891,13.4986,0.269972,0.00404358,8.08716e-05
15.1,13.5215,0.270431,13.5256,0.270512,0.00407868,8.15736e-05
15.2,13.5486,0.270972,13.5527,0.271054,0.00411391,8.22782e-05
15.3,13.5757,0.271513,13.5798,0.271596,0.00414926,8.29852e-05
