time,x,y,vx,vy,v
0,0,60,39.9318,30.0908,50
0,0.399157,60.2998,39.9157,29.9806,50
0.01,0.798153,60.5985,39.8996,29.8706,49.9209
0.02,1.19699,60.8961,39.8836,29.7606,49.842
0.03,1.59566,61.1926,39.8676,29.6506,49.7633
0.04,1.99418,61.488,39.8516,29.5407,49.6848
0.05,2.39254,61.7823,39.8357,29.4309,49.6065
0.06,2.79073,62.0756,39.8198,29.3212,49.5284
0.07,3.18877,62.3677,39.8039,29.2115,49.4504
0.08,3.58665,62.6587,39.788,29.1018,49.3727
0.09,3.98438,62.9486,39.7722,28.9923,49.2951
0.1,4.38194,63.2374,39.7564,28.8828,49.2177
0.11,4.77935,63.5252,39.7407,28.7733,49.1405
0.12,5.1766,63.8118,39.725,28.664,49.0635
0.13,5.57369,64.0974,39.7093,28.5546,48.9867
0.14,5.97063,64.3818,39.6936,28.4454,48.9101
0.15,6.36741,64.6652,39.678,28.3362,48.8336
0.16,6.76403,64.9474,39.6624,28.227,48.7574
0.17,7.1605,65.2286,39.6468,28.118,48.6813
0.18,7.55681,65.5087,39.6313,28.0089,48.6055
0.19,7.95297,65.7877,39.6158,27.9,48.5298
0.2,8.34897,66.0656,39.6003,27.7911,48.4543
0.21,8.74482,66.3424,39.5849,27.6822,48.379
0.22,9.14052,66.6182,39.5694,27.5735,48.3039
0.23,9.53606,66.8928,39.5541,27.4647,48.229
0.24,9.93144,67.1664,39.5387,27.3561,48.1543
0.25,10.3267,67.4389,39.5234,27.2475,48.0798
0.26,10.7218,67.7102,39.5081,27.1389,48.0054
0.27,11.1167,67.9806,39.4928,27.0304,47.9313
0.28,11.5115,68.2498,39.4776,26.922,47.8574
0.29,11.9061,68.5179,39.4624,26.8136,47.7836
0.3,12.3006,68.785,39.4472,26.7053,47.7101
0.31,12.6949,69.0509,39.432,26.5971,47.6367
0.32,13.089,69.3158,39.4169,26.4889,47.5635
0.33,13.4831,69.5796,39.4018,26.3807,47.4906
0.34,13.8769,69.8424,39.3868,26.2726,47.4178
0.35,14.2707,70.104,39.3717,26.1646,47.3452
0.36,14.6642,70.3646,39.3567,26.0566,47.2728
0.37,15.0576,70.6241,39.3417,25.9487,47.2006
0.38,15.4509,70.8825,39.3268,25.8409,47.1286
0.39,15.844,71.1398,39.3119,25.733,47.0568
0.4,16.237,71.396,39.297,25.6253,46.9852
0.41,16.6298,71.6512,39.2821,25.5176,46.9138
0.42,17.0225,71.9053,39.2673,25.41,46.8426
0.43,17.415,72.1583,39.2525,25.3024,46.7716
0.44,17.8074,72.4103,39.2377,25.1949,46.7008
0.45,18.1996,72.6612,39.2229,25.0874,46.6302
0.46,18.5917,72.911,39.2082,24.98,46.5598
0.47,18.9836,73.1597,39.1935,24.8726,46.4896
0.48,19.3754,73.4073,39.1789,24.7653,46.4196
0.49,19.7671,73.6539,39.1642,24.658,46.3498
0.5,20.1586,73.8994,39.1496,24.5508,46.2802
0.51,20.5499,74.1439,39.135,24.4437,46.2108
0.52,20.9411,74.3872,39.1205,24.3366,46.1416
0.53,21.3322,74.6295,39.1059,24.2296,46.0726
0.54,21.7231,74.8708,39.0914,24.1226,46.0037
0.55,22.1139,75.1109,39.0769,24.0156,45.9351
0.56,22.5045,75.35,39.0625,23.9088,45.8667
0.57,22.895,75.588,39.0481,23.8019,45.7985
0.58,23.2853,75.825,39.0337,23.6952,45.7306
0.59,23.6755,76.0609,39.0193,23.5884,45.6628
0.6,24.0655,76.2957,39.005,23.4818,45.5952
0.61,24.4554,76.5294,38.9906,23.3751,45.5278
0.62,24.8452,76.7621,38.9763,23.2686,45.4606
0.63,25.2348,76.9937,38.9621,23.1621,45.3936
0.64,25.6243,77.2243,38.9478,23.0556,45.3269
0.65,26.0136,77.4538,38.9336,22.9492,45.2603
0.66,26.4028,77.6822,38.9194,22.8428,45.1939
0.67,26.7919,77.9096,38.9053,22.7365,45.1278
0.68,27.1808,78.1359,38.8911,22.6303,45.0618
0.69,27.5696,78.3611,38.877,22.524,44.9961
0.7,27.9582,78.5853,38.863,22.4179,44.9306
0.71,28.3467,78.8084,38.8489,22.3118,44.8652
0.72,28.735,79.0305,38.8349,22.2057,44.8001
0.73,29.1233,79.2515,38.8209,22.0997,44.7352
0.74,29.5113,79.4714,38.8069,21.9937,44.6705
0.75,29.8993,79.6903,38.7929,21.8878,44.606
0.76,30.287,79.9081,38.779,21.782,44.5418
0.77,30.6747,80.1249,38.7651,21.6762,44.4777
0.78,31.0622,80.3406,38.7512,21.5704,44.4138
0.79,31.4496,80.5552,38.7373,21.4647,44.3502
0.8,31.8368,80.7688,38.7235,21.359,44.2867
0.81,32.2239,80.9813,38.7097,21.2534,44.2235
0.82,32.6109,81.1928,38.6959,21.1478,44.1605
0.83,32.9977,81.4032,38.6822,21.0423,44.0977
0.84,33.3844,81.6126,38.6684,20.9369,44.0351
0.85,33.7709,81.8209,38.6547,20.8314,43.9727
0.86,34.1573,82.0282,38.641,20.7261,43.9105
0.87,34.5436,82.2344,38.6274,20.6207,43.8486
0.88,34.9297,82.4395,38.6137,20.5154,43.7869
0.89,35.3157,82.6437,38.6001,20.4102,43.7253
0.9,35.7016,82.8467,38.5865,20.305,43.664
0.91,36.0873,83.0487,38.573,20.1999,43.6029
0.92,36.4729,83.2496,38.5594,20.0948,43.542
0.93,36.8584,83.4495,38.5459,19.9898,43.4814
0.94,37.2437,83.6484,38.5324,19.8848,43.4209
0.95,37.6289,83.8462,38.519,19.7798,43.3607
0.96,38.014,84.0429,38.5055,19.6749,43.3007
0.97,38.3989,84.2386,38.4921,19.57,43.2409
0.98,38.7837,84.4333,38.4787,19.4652,43.1813
0.99,39.1683,84.6269,38.4653,19.3605,43.122
1,39.5528,84.8195,38.4519,19.2557,43.0628
1.01,39.9372,85.011,38.4386,19.1511,43.0039
1.02,40.3215,85.2014,38.4253,19.0464,42.9452
1.03,40.7056,85.3908,38.412,18.9418,42.8867
1.04,41.0896,85.5792,38.3988,18.8373,42.8285
1.05,41.4734,85.7666,38.3855,18.7328,42.7704
1.06,41.8572,85.9528,38.3723,18.6284,42.7126
1.07,42.2408,86.1381,38.3591,18.524,42.655
1.08,42.6242,86.3223,38.3459,18.4196,42.5976
1.09,43.0075,86.5054,38.3328,18.3153,42.5405
1.1,43.3907,86.6875,38.3196,18.211,42.4835
1.11,43.7738,86.8686,38.3065,18.1068,42.4268
1.12,44.1567,87.0486,38.2934,18.0026,42.3703
1.13,44.5395,87.2276,38.2804,17.8984,42.3141
1.14,44.9222,87.4056,38.2673,17.7943,42.258
1.15,45.3048,87.5825,38.2543,17.6903,42.2022
1.16,45.6872,87.7583,38.2413,17.5863,42.1466
1.17,46.0695,87.9331,38.2283,17.4823,42.0913
1.18,46.4516,88.1069,38.2154,17.3784,42.0361
1.19,46.8336,88.2797,38.2025,17.2745,41.9812
1.2,47.2155,88.4514,38.1895,17.1707,41.9266
1.21,47.5973,88.622,38.1766,17.0669,41.8721
1.22,47.9789,88.7917,38.1638,16.9631,41.8179
1.23,48.3604,88.9603,38.1509,16.8594,41.7639
1.24,48.7418,89.1278,38.1381,16.7557,41.7101
1.25,49.1231,89.2943,38.1253,16.6521,41.6566
1.26,49.5042,89.4598,38.1125,16.5485,41.6032
1.27,49.8852,89.6243,38.0997,16.445,41.5502
1.28,50.2661,89.7877,38.087,16.3415,41.4973
1.29,50.6468,89.9501,38.0743,16.238,41.4447
1.3,51.0274,90.1114,38.0615,16.1346,41.3923
1.31,51.4079,90.2717,38.0489,16.0312,41.3401
1.32,51.7883,90.431,38.0362,15.9279,41.2882
