time,x,y,vx,vy,v
0,0,60,30.7575,27.232,41.0805
0,0.307522,60.2713,30.7522,27.1266,33.5412
0.01,0.614992,60.5415,30.747,27.0213,33.4527
0.02,0.922409,60.8106,30.7417,26.916,33.3642
0.03,1.22977,61.0787,30.7364,26.8108,33.2759
0.04,1.53709,61.3458,30.7312,26.7056,33.1878
0.05,1.84435,61.6118,30.726,26.6005,33.0998
0.06,2.15155,61.8768,30.7208,26.4954,33.0119
0.07,2.45871,62.1407,30.7156,26.3904,32.9242
0.08,2.76581,62.4035,30.7104,26.2854,32.8367
0.09,3.07287,62.6653,30.7053,26.1804,32.7493
0.1,3.37987,62.9261,30.7001,26.0755,32.662
0.11,3.68682,63.1858,30.695,25.9707,32.5749
0.12,3.99372,63.4444,30.6899,25.8659,32.488
0.13,4.30056,63.7021,30.6848,25.7611,32.4012
0.14,4.60736,63.9586,30.6797,25.6564,32.3145
0.15,4.91411,64.2141,30.6746,25.5518,32.228
0.16,5.2208,64.4686,30.6696,25.4471,32.1417
0.17,5.52745,64.722,30.6645,25.3426,32.0555
0.18,5.83404,64.9744,30.6595,25.238,31.9695
0.19,6.14059,65.2258,30.6545,25.1335,31.8836
0.2,6.44708,65.476,30.6495,25.0291,31.7979
0.21,6.75353,65.7253,30.6445,24.9247,31.7124
0.22,7.05992,65.9735,30.6396,24.8203,31.627
0.23,7.36627,66.2207,30.6346,24.716,31.5417
0.24,7.67257,66.4668,30.6297,24.6118,31.4566
0.25,7.97882,66.7118,30.6248,24.5075,31.3717
0.26,8.28501,66.9559,30.6199,24.4034,31.287
0.27,8.59116,67.1989,30.615,24.2992,31.2024
0.28,8.89726,67.4408,30.6101,24.1951,31.1179
0.29,9.20332,67.6817,30.6052,24.0911,31.0337
0.3,9.50932,67.9216,30.6004,23.9871,30.9495
0.31,9.81528,68.1604,30.5955,23.8831,30.8656
0.32,10.1212,68.3982,30.5907,23.7792,30.7818
0.33,10.427,68.635,30.5859,23.6753,30.6982
0.34,10.7329,68.8707,30.5811,23.5714,30.6148
0.35,11.0386,69.1054,30.5764,23.4676,30.5315
0.36,11.3443,69.339,30.5716,23.3639,30.4484
0.37,11.65,69.5716,30.5668,23.2601,30.3654
0.38,11.9556,69.8032,30.5621,23.1565,30.2827
0.39,12.2612,70.0337,30.5574,23.0528,30.2001
0.4,12.5667,70.2632,30.5527,22.9492,30.1176
0.41,12.8722,70.4917,30.548,22.8457,30.0354
0.42,13.1776,70.7191,30.5433,22.7422,29.9533
0.43,13.483,70.9455,30.5386,22.6387,29.8714
