time,x,y,vx,vy,v
0,0,60,44.1474,23.4736,50
0,0.441296,60.2337,44.1296,23.3661,50
0.01,0.882414,60.4662,44.1118,23.2587,49.9339
0.02,1.32335,60.6978,44.0941,23.1514,49.868
0.03,1.76412,60.9282,44.0764,23.0441,49.8023
0.04,2.20471,61.1576,44.0587,22.9368,49.7369
0.05,2.64512,61.3859,44.0411,22.8296,49.6716
0.06,3.08535,61.6131,44.0234,22.7225,49.6065
0.07,3.52541,61.8392,44.0059,22.6154,49.5417
0.08,3.96529,62.0643,43.9883,22.5084,49.477
0.09,4.405,62.2883,43.9708,22.4014,49.4125
0.1,4.84453,62.5113,43.9533,22.2945,49.3483
0.11,5.28389,62.7332,43.9358,22.1877,49.2842
0.12,5.72307,62.954,43.9184,22.0809,49.2204
0.13,6.16208,63.1737,43.901,21.9741,49.1568
0.14,6.60092,63.3924,43.8836,21.8674,49.0934
0.15,7.03958,63.61,43.8663,21.7608,49.0301
0.16,7.47807,63.8265,43.8489,21.6542,48.9671
0.17,7.91639,64.042,43.8316,21.5476,48.9043
0.18,8.35453,64.2564,43.8144,21.4412,48.8417
0.19,8.7925,64.4698,43.7972,21.3347,48.7793
0.2,9.2303,64.6821,43.78,21.2283,48.7172
0.21,9.66793,64.8933,43.7628,21.122,48.6552
0.22,10.1054,65.1034,43.7456,21.0157,48.5934
0.23,10.5427,65.3125,43.7285,20.9095,48.5319
0.24,10.9798,65.5206,43.7114,20.8033,48.4705
0.25,11.4167,65.7275,43.6944,20.6972,48.4094
0.26,11.8535,65.9334,43.6773,20.5912,48.3485
0.27,12.2901,66.1383,43.6603,20.4851,48.2877
0.28,12.7265,66.3421,43.6434,20.3792,48.2272
0.29,13.1628,66.5448,43.6264,20.2733,48.1669
0.3,13.5989,66.7465,43.6095,20.1674,48.1068
0.31,14.0348,66.9471,43.5926,20.0616,48.047
0.32,14.4706,67.1467,43.5757,19.9558,47.9873
0.33,14.9062,67.3452,43.5589,19.8501,47.9278
0.34,15.3416,67.5426,43.5421,19.7445,47.8686
0.35,15.7768,67.739,43.5253,19.6388,47.8096
0.36,16.2119,67.9343,43.5085,19.5333,47.7508
0.37,16.6468,68.1286,43.4918,19.4278,47.6922
0.38,17.0816,68.3218,43.4751,19.3223,47.6338
0.39,17.5162,68.514,43.4584,19.2169,47.5756
0.4,17.9506,68.7051,43.4418,19.1115,47.5176
0.41,18.3849,68.8952,43.4252,19.0062,47.4599
0.42,18.8189,69.0842,43.4086,18.901,47.4023
0.43,19.2529,69.2722,43.392,18.7957,47.345
0.44,19.6866,69.4591,43.3754,18.6906,47.2879
0.45,20.1202,69.6449,43.3589,18.5855,47.231
0.46,20.5536,69.8297,43.3424,18.4804,47.1743
0.47,20.9869,70.0135,43.326,18.3754,47.1178
0.48,21.42,70.1962,43.3095,18.2704,47.0616
0.49,21.8529,70.3778,43.2931,18.1655,47.0056
0.5,22.2857,70.5584,43.2767,18.0606,46.9497
0.51,22.7183,70.738,43.2604,17.9558,46.8941
0.52,23.1507,70.9165,43.244,17.851,46.8388
0.53,23.583,71.094,43.2277,17.7463,46.7836
0.54,24.0151,71.2704,43.2114,17.6416,46.7286
0.55,24.4471,71.4458,43.1952,17.5369,46.6739
0.56,24.8789,71.6201,43.1789,17.4323,46.6194
0.57,25.3105,71.7934,43.1627,17.3278,46.5651
0.58,25.7419,71.9656,43.1465,17.2233,46.511
0.59,26.1733,72.1368,43.1304,17.1188,46.4571
0.6,26.6044,72.3069,43.1142,17.0144,46.4035
0.61,27.0354,72.476,43.0981,16.9101,46.3501
0.62,27.4662,72.6441,43.082,16.8058,46.2969
0.63,27.8969,72.8111,43.066,16.7015,46.2439
0.64,28.3274,72.9771,43.0499,16.5973,46.1911
0.65,28.7577,73.142,43.0339,16.4931,46.1386
0.66,29.1879,73.3059,43.0179,16.389,46.0862
0.67,29.6179,73.4687,43.002,16.2849,46.0341
0.68,30.0478,73.6305,42.986,16.1809,45.9823
0.69,30.4775,73.7913,42.9701,16.0769,45.9306
0.7,30.907,73.951,42.9542,15.9729,45.8791
0.71,31.3364,74.1097,42.9383,15.869,45.8279
0.72,31.7656,74.2674,42.9225,15.7652,45.7769
0.73,32.1947,74.424,42.9067,15.6614,45.7262
0.74,32.6236,74.5796,42.8909,15.5576,45.6756
0.75,33.0523,74.7341,42.8751,15.4539,45.6253
0.76,33.4809,74.8876,42.8593,15.3502,45.5752
0.77,33.9094,75.0401,42.8436,15.2465,45.5253
0.78,34.3376,75.1915,42.8279,15.143,45.4756
0.79,34.7658,75.3419,42.8122,15.0394,45.4262
0.8,35.1937,75.4913,42.7966,14.9359,45.377
0.81,35.6215,75.6396,42.7809,14.8325,45.328
0.82,36.0492,75.7869,42.7653,14.729,45.2792
0.83,36.4767,75.9331,42.7497,14.6257,45.2307
0.84,36.904,76.0784,42.7341,14.5223,45.1824
0.85,37.3312,76.2225,42.7186,14.4191,45.1343
0.86,37.7582,76.3657,42.703,14.3158,45.0864
0.87,38.1851,76.5078,42.6875,14.2126,45.0388
0.88,38.6118,76.6489,42.6721,14.1095,44.9914
0.89,39.0384,76.789,42.6566,14.0063,44.9442
0.9,39.4648,76.928,42.6412,13.9033,44.8972
0.91,39.8911,77.066,42.6257,13.8002,44.8505
0.92,40.3172,77.203,42.6103,13.6973,44.804
0.93,40.7431,77.3389,42.595,13.5943,44.7577
0.94,41.1689,77.4739,42.5796,13.4914,44.7117
0.95,41.5946,77.6077,42.5643,13.3886,44.6659
0.96,42.0201,77.7406,42.549,13.2857,44.6203
0.97,42.4454,77.8724,42.5337,13.183,44.5749
0.98,42.8706,78.0032,42.5184,13.0802,44.5298
0.99,43.2956,78.133,42.5031,12.9775,44.4849
1,43.7205,78.2618,42.4879,12.8749,44.4402
1.01,44.1452,78.3895,42.4727,12.7723,44.3958
1.02,44.5698,78.5162,42.4575,12.6697,44.3516
1.03,44.9942,78.6418,42.4424,12.5672,44.3076
1.04,45.4185,78.7665,42.4272,12.4647,44.2638
1.05,45.8426,78.8901,42.4121,12.3623,44.2203
1.06,46.2666,79.0127,42.397,12.2599,44.177
1.07,46.6904,79.1343,42.3819,12.1575,44.134
1.08,47.1141,79.2548,42.3668,12.0552,44.0911
1.09,47.5376,79.3744,42.3518,11.9529,44.0486
1.1,47.9609,79.4929,42.3367,11.8507,44.0062
1.11,48.3842,79.6104,42.3217,11.7485,43.9641
1.12,48.8072,79.7268,42.3068,11.6463,43.9222
1.13,49.2302,79.8423,42.2918,11.5442,43.8805
1.14,49.6529,79.9567,42.2768,11.4421,43.8391
1.15,50.0755,80.0701,42.2619,11.3401,43.7979
1.16,50.498,80.1825,42.247,11.2381,43.7569
1.17,50.9203,80.2938,42.2321,11.1361,43.7162
1.18,51.3425,80.4042,42.2172,11.0342,43.6757
1.19,51.7645,80.5135,42.2024,10.9323,43.6354
1.2,52.1864,80.6218,42.1876,10.8304,43.5954
1.21,52.6081,80.7291,42.1727,10.7286,43.5556
1.22,53.0297,80.8354,42.1579,10.6269,43.516
1.23,53.4511,80.9406,42.1432,10.5252,43.4767
1.24,53.8724,81.0448,42.1284,10.4235,43.4376
1.25,54.2936,81.1481,42.1137,10.3218,43.3987
1.26,54.7146,81.2503,42.0989,10.2202,43.3601
1.27,55.1354,81.3514,42.0842,10.1186,43.3217
1.28,55.5561,81.4516,42.0696,10.0171,43.2836
1.29,55.9766,81.5508,42.0549,9.91562,43.2457
1.3,56.397,81.6489,42.0402,9.81416,43.208
1.31,56.8173,81.746,42.0256,9.71275,43.1706
