time,x,y,vx,vy,v
0,0,60,35.3553,35.3553,50
0,0.35347,60.3525,35.347,35.2451,42.8327
0.01,0.706856,60.7038,35.3387,35.135,42.7371
0.02,1.06016,61.0541,35.3304,35.0249,42.6415
0.03,1.41338,61.4032,35.3221,34.9149,42.5462
0.04,1.76652,61.7512,35.3138,34.8049,42.4509
0.05,2.11957,62.0982,35.3056,34.6951,42.3558
0.06,2.47255,62.4441,35.2973,34.5852,42.2609
0.07,2.82544,62.7888,35.2891,34.4755,42.1661
0.08,3.17825,63.1325,35.281,34.3658,42.0714
0.09,3.53098,63.475,35.2728,34.2562,41.9769
0.1,3.88362,63.8165,35.2647,34.1466,41.8825
0.11,4.23619,64.1569,35.2565,34.0371,41.7882
0.12,4.58867,64.4961,35.2485,33.9276,41.6941
0.13,4.94108,64.8343,35.2404,33.8183,41.6001
0.14,5.2934,65.1714,35.2323,33.7089,41.5063
0.15,5.64564,65.5074,35.2243,33.5997,41.4126
0.16,5.99781,65.8423,35.2163,33.4905,41.319
0.17,6.34989,66.1761,35.2083,33.3814,41.2256
0.18,6.70189,66.5088,35.2003,33.2723,41.1323
0.19,7.05382,66.8405,35.1924,33.1633,41.0392
0.2,7.40566,67.171,35.1844,33.0543,40.9462
0.21,7.75743,67.5005,35.1765,32.9454,40.8533
0.22,8.10911,67.8288,35.1687,32.8366,40.7606
0.23,8.46072,68.1561,35.1608,32.7279,40.6681
0.24,8.81225,68.4823,35.1529,32.6191,40.5756
0.25,9.1637,68.8074,35.1451,32.5105,40.4834
0.26,9.51507,69.1314,35.1373,32.4019,40.3912
0.27,9.86637,69.4544,35.1295,32.2934,40.2992
0.28,10.2176,69.7762,35.1218,32.1849,40.2074
0.29,10.5687,70.097,35.114,32.0765,40.1157
0.3,10.9198,70.4167,35.1063,31.9682,40.0241
0.31,11.2708,70.7353,35.0986,31.8599,39.9327
0.32,11.6217,71.0528,35.0909,31.7516,39.8414
0.33,11.9725,71.3692,35.0832,31.6435,39.7503
0.34,12.3233,71.6846,35.0756,31.5353,39.6593
0.35,12.674,71.9988,35.068,31.4273,39.5685
0.36,13.0246,72.312,35.0604,31.3193,39.4778
0.37,13.3751,72.6242,35.0528,31.2113,39.3873
0.38,13.7255,72.9352,35.0452,31.1034,39.2969
0.39,14.0759,73.2451,35.0377,30.9956,39.2067
0.4,14.4262,73.554,35.0301,30.8878,39.1166
0.41,14.7764,73.8618,35.0226,30.7801,39.0266
0.42,15.1266,74.1685,35.0151,30.6724,38.9368
0.43,15.4767,74.4742,35.0077,30.5648,38.8472
0.44,15.8267,74.7788,35.0002,30.4573,38.7577
0.45,16.1766,75.0823,34.9928,30.3498,38.6683
0.46,16.5265,75.3847,34.9854,30.2424,38.5791
0.47,16.8762,75.686,34.978,30.135,38.4901
0.48,17.2259,75.9863,34.9706,30.0276,38.4012
0.49,17.5756,76.2855,34.9633,29.9204,38.3125
0.5,17.9251,76.5836,34.956,29.8131,38.2239
0.51,18.2746,76.8807,34.9486,29.706,38.1354
0.52,18.624,77.1767,34.9414,29.5989,38.0471
0.53,18.9734,77.4716,34.9341,29.4918,37.959
