x,z,Bx,By,Bz
-0.10000000,-0.10000000,0.00000094,0.00000000,0.00000043
-0.10000000,-0.09000000,0.00000111,0.00000000,0.00000040
-0.10000000,-0.08000000,0.00000131,-0.00000000,0.00000033
-0.10000000,-0.07000000,0.00000152,-0.00000000,0.00000021
-0.10000000,-0.06000000,0.00000174,0.00000000,0.00000001
-0.10000000,-0.05000000,0.00000193,0.00000000,-0.00000030
-0.10000000,-0.04000000,0.00000203,0.00000000,-0.00000073
-0.10000000,-0.03000000,0.00000196,0.00000000,-0.00000129
-0.10000000,-0.02000000,0.00000160,-0.00000000,-0.00000189
-0.10000000,-0.01000000,0.00000092,-0.00000000,-0.00000239
-0.10000000,-0.00000000,0.00000000,-0.00000000,-0.00000259
-0.10000000,0.01000000,-0.00000092,0.00000000,-0.00000239
-0.10000000,0.02000000,-0.00000160,0.00000000,-0.00000189
-0.10000000,0.03000000,-0.00000196,0.00000000,-0.00000129
-0.10000000,0.04000000,-0.00000203,0.00000000,-0.00000073
-0.10000000,0.05000000,-0.00000193,-0.00000000,-0.00000030
-0.10000000,0.06000000,-0.00000174,-0.00000000,0.00000001
-0.10000000,0.07000000,-0.00000152,0.00000000,0.00000021
-0.10000000,0.08000000,-0.00000131,0.00000000,0.00000033
-0.10000000,0.09000000,-0.00000111,-0.00000000,0.00000040
-0.10000000,0.10000000,-0.00000094,-0.00000000,0.00000043
-0.09000000,-0.10000000,0.00000105,-0.00000000,0.00000061
-0.09000000,-0.09000000,0.00000127,-0.00000000,0.00000061
-0.09000000,-0.08000000,0.00000154,-0.00000000,0.00000058
-0.09000000,-0.07000000,0.00000185,0.00000000,0.00000048
-0.09000000,-0.06000000,0.00000221,0.00000000,0.00000029
-0.09000000,-0.05000000,0.00000257,0.00000000,-0.00000006
-0.09000000,-0.04000000,0.00000288,-0.00000000,-0.00000062
-0.09000000,-0.03000000,0.00000298,-0.00000000,-0.00000144
-0.09000000,-0.02000000,0.00000262,-0.00000000,-0.00000249
-0.09000000,-0.01000000,0.00000160,-0.00000000,-0.00000346
-0.09000000,-0.00000000,0.00000000,-0.00000000,-0.00000388
-0.09000000,0.01000000,-0.00000160,0.00000000,-0.00000346
-0.09000000,0.02000000,-0.00000262,0.00000000,-0.00000249
-0.09000000,0.03000000,-0.00000298,-0.00000000,-0.00000144
-0.09000000,0.04000000,-0.00000288,0.00000000,-0.00000062
-0.09000000,0.05000000,-0.00000257,-0.00000000,-0.00000006
-0.09000000,0.06000000,-0.00000221,-0.00000000,0.00000029
-0.09000000,0.07000000,-0.00000185,-0.00000000,0.00000048
-0.09000000,0.08000000,-0.00000154,0.00000000,0.00000058
-0.09000000,0.09000000,-0.00000127,-0.00000000,0.00000061
-0.09000000,0.10000000,-0.00000105,0.00000000,0.00000061
-0.08000000,-0.10000000,0.00000114,-0.00000000,0.00000083
-0.08000000,-0.09000000,0.00000141,0.00000000,0.00000089
-0.08000000,-0.08000000,0.00000176,-0.00000000,0.00000092
-0.08000000,-0.07000000,0.00000220,0.00000000,0.00000089
