x,Bx,By,Bz
-0.10000000,-0.00000000,-0.00000000,-0.00000259
-0.09899497,-0.00000000,-0.00000000,-0.00000269
-0.09798995,-0.00000000,0.00000000,-0.00000279
-0.09698492,-0.00000000,-0.00000000,-0.00000290
-0.09597990,-0.00000000,-0.00000000,-0.00000302
-0.09497487,-0.00000000,-0.00000000,-0.00000315
-0.09396985,-0.00000000,-0.00000000,-0.00000328
-0.09296482,-0.00000000,-0.00000000,-0.00000342
-0.09195980,-0.00000000,0.00000000,-0.00000357
-0.09095477,-0.00000000,0.00000000,-0.00000372
-0.08994975,-0.00000000,-0.00000000,-0.00000389
-0.08894472,-0.00000000,0.00000000,-0.00000407
-0.08793970,-0.00000000,-0.00000000,-0.00000426
-0.08693467,-0.00000000,0.00000000,-0.00000447
-0.08592965,-0.00000000,-0.00000000,-0.00000469
-0.08492462,-0.00000000,0.00000000,-0.00000492
-0.08391960,-0.00000000,0.00000000,-0.00000517
-0.08291457,-0.00000000,0.00000000,-0.00000544
-0.08190955,-0.00000000,-0.00000000,-0.00000574
-0.08090452,-0.00000000,-0.00000000,-0.00000605
-0.07989950,-0.00000000,-0.00000000,-0.00000639
-0.07889447,-0.00000000,-0.00000000,-0.00000676
-0.07788945,-0.00000000,0.00000000,-0.00000717
-0.07688442,-0.00000000,0.00000000,-0.00000761
-0.07587940,-0.00000000,0.00000000,-0.00000808
-0.07487437,-0.00000001,0.00000000,-0.00000861
-0.07386935,-0.00000001,-0.00000000,-0.00000919
-0.07286432,-0.00000001,0.00000000,-0.00000983
-0.07185930,-0.00000001,-0.00000000,-0.00001054
-0.07085427,-0.00000001,-0.00000000,-0.00001132
-0.06984925,-0.00000001,-0.00000000,-0.00001220
-0.06884422,-0.00000001,-0.00000000,-0.00001319
-0.06783920,-0.00000001,-0.00000000,-0.00001430
-0.06683417,-0.00000001,-0.00000000,-0.00001557
-0.06582915,-0.00000002,-0.00000000,-0.00001701
-0.06482412,-0.00000002,0.00000000,-0.00001868
-0.06381910,-0.00000002,0.00000000,-0.00002062
-0.06281407,-0.00000002,0.00000000,-0.00002289
-0.06180905,-0.00000003,0.00000000,-0.00002559
-0.06080402,-0.00000004,0.00000000,-0.00002884
-0.05979899,-0.00000004,0.00000000,-0.00003281
-0.05879397,-0.00000006,0.00000000,-0.00003775
-0.05778894,-0.00000007,0.00000000,-0.00004407
-0.05678392,-0.00000010,-0.00000000,-0.00005236
-0.05577889,-0.00000013,0.00000000,-0.00006370
-0.05477387,-0.00000020,0.00000000,-0.00008003
-0.05376884,-0.00000032,-0.00000000,-0.00010540
-0.05276382,-0.00000061,0.00000000,-0.00014979
-0.05175879,-0.00000151,0.00000000,-0.00024612
-0.05075377,-0.00000834,0.00000000,-0.00060366
-0.04974874,-0.00007567,-0.00000000,0.00193196
