r,Bx,By,Bz
0.17320508,0.00000037,0.00000037,0.00000004
0.17146433,0.00000038,0.00000038,0.00000004
0.16972357,0.00000040,0.00000040,0.00000004
0.16798282,0.00000041,0.00000041,0.00000004
0.16624206,0.00000042,0.00000042,0.00000005
0.16450131,0.00000043,0.00000043,0.00000005
0.16276055,0.00000045,0.00000045,0.00000005
0.16101980,0.00000046,0.00000046,0.00000005
0.15927904,0.00000048,0.00000048,0.00000006
0.15753829,0.00000050,0.00000050,0.00000006
0.15579753,0.00000051,0.00000051,0.00000006
0.15405678,0.00000053,0.00000053,0.00000007
0.15231603,0.00000055,0.00000055,0.00000007
0.15057527,0.00000057,0.00000057,0.00000008
0.14883452,0.00000059,0.00000059,0.00000008
0.14709376,0.00000061,0.00000061,0.00000009
0.14535301,0.00000063,0.00000063,0.00000009
0.14361225,0.00000066,0.00000066,0.00000010
0.14187150,0.00000068,0.00000068,0.00000010
0.14013074,0.00000071,0.00000071,0.00000011
0.13838999,0.00000074,0.00000074,0.00000012
0.13664923,0.00000076,0.00000076,0.00000012
0.13490848,0.00000080,0.00000080,0.00000013
0.13316773,0.00000083,0.00000083,0.00000014
0.13142697,0.00000086,0.00000086,0.00000015
0.12968622,0.00000090,0.00000090,0.00000016
0.12794546,0.00000093,0.00000093,0.00000017
0.12620471,0.00000097,0.00000097,0.00000019
0.12446395,0.00000102,0.00000102,0.00000020
0.12272320,0.00000106,0.00000106,0.00000022
0.12098244,0.00000111,0.00000111,0.00000023
0.11924169,0.00000116,0.00000116,0.00000025
0.11750093,0.00000121,0.00000121,0.00000027
0.11576018,0.00000127,0.00000127,0.00000029
0.11401943,0.00000132,0.00000132,0.00000031
0.11227867,0.00000139,0.00000139,0.00000034
0.11053792,0.00000145,0.00000145,0.00000037
0.10879716,0.00000153,0.00000153,0.00000040
0.10705641,0.00000160,0.00000160,0.00000043
0.10531565,0.00000168,0.00000168,0.00000047
0.10357490,0.00000177,0.00000177,0.00000051
0.10183414,0.00000186,0.00000186,0.00000056
0.10009339,0.00000196,0.00000196,0.00000061
0.09835263,0.00000206,0.00000206,0.00000067
0.09661188,0.00000217,0.00000217,0.00000073
0.09487112,0.00000229,0.00000229,0.00000080
0.09313037,0.00000242,0.00000242,0.00000088
0.09138962,0.00000255,0.00000255,0.00000097
0.08964886,0.00000270,0.00000270,0.00000107
0.08790811,0.00000285,0.00000285,0.00000118
0.08616735,0.00000302,0.00000302,0.00000131
0.08442660,0.00000320,0.00000320,0.00000145
0.08268584,0.00000339,0.00000339,0.00000160
0.08094509,0.00000359,0.00000359,0.00000178
0.07920433,0.00000381,0.00000381,0.00000198
0.07746358,0.00000404,0.00000404,0.00000221
0.07572282,0.00000428,0.00000428,0.00000246
0.07398207,0.00000454,0.00000454,0.00000275
0.07224132,0.00000482,0.00000482,0.00000308
0.07050056,0.00000511,0.00000511,0.00000345
0.06875981,0.00000541,0.00000541,0.00000387
0.06701905,0.00000573,0.00000573,0.00000434
0.06527830,0.00000606,0.00000606,0.00000487
0.06353754,0.00000639,0.00000639,0.00000547
0.06179679,0.00000673,0.00000673,0.00000614
0.06005603,0.00000707,0.00000707,0.00000689
0.05831528,0.00000741,0.00000741,0.00000772
0.05657452,0.00000773,0.00000773,0.00000864
0.05483377,0.00000803,0.00000803,0.00000965
0.05309301,0.00000829,0.00000829,0.00001074
0.05135226,0.00000851,0.00000851,0.00001192
0.04961151,0.00000868,0.00000868,0.00001318
0.04787075,0.00000878,0.00000878,0.00001450
0.04613000,0.00000881,0.00000881,0.00001586
0.04438924,0.00000876,0.00000876,0.00001725
0.04264849,0.00000862,0.00000862,0.00001865
0.04090773,0.00000839,0.00000839,0.00002002
0.03916698,0.00000809,0.00000809,0.00002134
0.03742622,0.00000771,0.00000771,0.00002259
0.03568547,0.00000726,0.00000726,0.00002376
0.03394471,0.00000677,0.00000677,0.00002482
0.03220396,0.00000623,0.00000623,0.00002576
0.03046321,0.00000568,0.00000568,0.00002659
0.02872245,0.00000511,0.00000511,0.00002731
0.02698170,0.00000455,0.00000455,0.00002791
0.02524094,0.00000400,0.00000400,0.00002841
0.02350019,0.00000347,0.00000347,0.00002881
0.02175943,0.00000297,0.00000297,0.00002914
0.02001868,0.00000251,0.00000251,0.00002939
0.01827792,0.00000209,0.00000209,0.00002958
0.01653717,0.00000170,0.00000170,0.00002972
0.01479641,0.00000135,0.00000135,0.00002982
0.01305566,0.00000105,0.00000105,0.00002989
0.01131490,0.00000078,0.00000078,0.00002994
0.00957415,0.00000056,0.00000056,0.00002997
0.00783340,0.00000037,0.00000037,0.00002999
0.00609264,0.00000022,0.00000022,0.00003000
0.00435189,0.00000011,0.00000011,0.00003000
0.00261113,0.00000004,0.00000004,0.00003000
0.00087038,0.00000000,0.00000000,0.00003000
0.00087038,0.00000000,0.00000000,0.00003000
0.00261113,0.00000004,0.00000004,0.00003000
0.00435189,0.00000011,0.00000011,0.00003000
0.00609264,0.00000022,0.00000022,0.00003000
0.00783340,0.00000037,0.00000037,0.00002999
0.00957415,0.00000056,0.00000056,0.00002997
0.01131490,0.00000078,0.00000078,0.00002994
0.01305566,0.00000105,0.00000105,0.00002989
0.01479641,0.00000135,0.00000135,0.00002982
0.01653717,0.00000170,0.00000170,0.00002972
0.01827792,0.00000209,0.00000209,0.00002958
0.02001868,0.00000251,0.00000251,0.00002939
0.02175943,0.00000297,0.00000297,0.00002914
0.02350019,0.00000347,0.00000347,0.00002881
0.02524094,0.00000400,0.00000400,0.00002841
0.02698170,0.00000455,0.00000455,0.00002791
0.02872245,0.00000511,0.00000511,0.00002731
0.03046321,0.00000568,0.00000568,0.00002659
0.03220396,0.00000623,0.00000623,0.00002576
0.03394471,0.00000677,0.00000677,0.00002482
0.03568547,0.00000726,0.00000726,0.00002376
0.03742622,0.00000771,0.00000771,0.00002259
0.03916698,0.00000809,0.00000809,0.00002134
0.04090773,0.00000839,0.00000839,0.00002002
0.04264849,0.00000862,0.00000862,0.00001865
0.04438924,0.00000876,0.00000876,0.00001725
0.04613000,0.00000881,0.00000881,0.00001586
0.04787075,0.00000878,0.00000878,0.00001450
0.04961151,0.00000868,0.00000868,0.00001318
0.05135226,0.00000851,0.00000851,0.00001192
0.05309301,0.00000829,0.00000829,0.00001074
0.05483377,0.00000803,0.00000803,0.00000965
0.05657452,0.00000773,0.00000773,0.00000864
0.05831528,0.00000741,0.00000741,0.00000772
0.06005603,0.00000707,0.00000707,0.00000689
0.06179679,0.00000673,0.00000673,0.00000614
0.06353754,0.00000639,0.00000639,0.00000547
0.06527830,0.00000606,0.00000606,0.00000487
0.06701905,0.00000573,0.00000573,0.00000434
0.06875981,0.00000541,0.00000541,0.00000387
0.07050056,0.00000511,0.00000511,0.00000345
0.07224132,0.00000482,0.00000482,0.00000308
0.07398207,0.00000454,0.00000454,0.00000275
0.07572282,0.00000428,0.00000428,0.00000246
0.07746358,0.00000404,0.00000404,0.00000221
0.07920433,0.00000381,0.00000381,0.00000198
0.08094509,0.00000359,0.00000359,0.00000178
0.08268584,0.00000339,0.00000339,0.00000160
0.08442660,0.00000320,0.00000320,0.00000145
0.08616735,0.00000302,0.00000302,0.00000131
0.08790811,0.00000285,0.00000285,0.00000118
0.08964886,0.00000270,0.00000270,0.00000107
0.09138962,0.00000255,0.00000255,0.00000097
0.09313037,0.00000242,0.00000242,0.00000088
0.09487112,0.00000229,0.00000229,0.00000080
0.09661188,0.00000217,0.00000217,0.00000073
0.09835263,0.00000206,0.00000206,0.00000067
0.10009339,0.00000196,0.00000196,0.00000061
0.10183414,0.00000186,0.00000186,0.00000056
0.10357490,0.00000177,0.00000177,0.00000051
0.10531565,0.00000168,0.00000168,0.00000047
0.10705641,0.00000160,0.00000160,0.00000043
0.10879716,0.00000153,0.00000153,0.00000040
0.11053792,0.00000145,0.00000145,0.00000037
0.11227867,0.00000139,0.00000139,0.00000034
0.11401943,0.00000132,0.00000132,0.00000031
0.11576018,0.00000127,0.00000127,0.00000029
0.11750093,0.00000121,0.00000121,0.00000027
0.11924169,0.00000116,0.00000116,0.00000025
0.12098244,0.00000111,0.00000111,0.00000023
0.12272320,0.00000106,0.00000106,0.00000022
0.12446395,0.00000102,0.00000102,0.00000020
0.12620471,0.00000097,0.00000097,0.00000019
0.12794546,0.00000093,0.00000093,0.00000017
0.12968622,0.00000090,0.00000090,0.00000016
0.13142697,0.00000086,0.00000086,0.00000015
0.13316773,0.00000083,0.00000083,0.00000014
0.13490848,0.00000080,0.00000080,0.00000013
0.13664923,0.00000076,0.00000076,0.00000012
0.13838999,0.00000074,0.00000074,0.00000012
0.14013074,0.00000071,0.00000071,0.00000011
0.14187150,0.00000068,0.00000068,0.00000010
0.14361225,0.00000066,0.00000066,0.00000010
0.14535301,0.00000063,0.00000063,0.00000009
0.14709376,0.00000061,0.00000061,0.00000009
0.14883452,0.00000059,0.00000059,0.00000008
0.15057527,0.00000057,0.00000057,0.00000008
0.15231603,0.00000055,0.00000055,0.00000007
0.15405678,0.00000053,0.00000053,0.00000007
0.15579753,0.00000051,0.00000051,0.00000006
0.15753829,0.00000050,0.00000050,0.00000006
0.15927904,0.00000048,0.00000048,0.00000006
0.16101980,0.00000046,0.00000046,0.00000005
0.16276055,0.00000045,0.00000045,0.00000005
0.16450131,0.00000043,0.00000043,0.00000005
0.16624206,0.00000042,0.00000042,0.00000005
0.16798282,0.00000041,0.00000041,0.00000004
0.16972357,0.00000040,0.00000040,0.00000004
0.17146433,0.00000038,0.00000038,0.00000004
0.17320508,0.00000037,0.00000037,0.00000004
