frequency,power
0,1.0803e-08
9,1.25301e-08
18,1.86646e-08
27,3.32993e-08
36,7.08356e-08
45,2.02643e-07
54,1.39254e-06
63,6.01424e-06
72,3.98809e-07
81,1.35936e-07
90,6.84929e-08
99,4.10925e-08
108,2.71381e-08
117,1.90019e-08
126,1.38134e-08
135,1.02906e-08
144,7.78911e-09
153,5.95674e-09
162,4.58902e-09
171,3.56315e-09
180,7.6777e-06
189,2.27497e-09
198,1.95655e-09
207,1.85957e-09
216,2.02366e-09
225,2.53389e-09
234,3.55506e-09
243,5.40975e-09
252,8.77113e-09
261,1.5206e-08
270,2.90272e-08
279,6.57993e-08
288,2.19791e-07
297,3.76443e-06
306,9.88269e-07
315,1.62777e-07
324,6.40977e-08
333,3.34235e-08
342,1.98825e-08
351,1.27442e-08
360,8.69116e-09
369,6.58544e-09
378,6.3413e-09
387,9.14809e-09
396,2.00705e-08
405,6.61414e-08
414,5.34786e-07
423,2.6932e-06
432,2.05207e-07
441,7.93219e-08
450,4.48687e-08
459,3.00046e-08
468,2.1985e-08
477,1.70366e-08
486,1.36963e-08
495,1.12915e-08
504,9.4738e-09
513,8.04613e-09
522,6.8893e-09
531,5.92718e-09
540,2.14947e-06
549,4.39973e-09
558,3.77491e-09
567,3.21748e-09
576,2.71664e-09
585,2.2682e-09
594,1.87756e-09
603,1.56831e-09
612,1.40607e-09
621,1.57089e-09
630,2.62084e-09
639,6.77702e-09
648,2.87455e-08
657,6.31617e-07
666,2.08502e-07
675,4.21712e-08
684,1.99889e-08
693,1.23541e-08
702,8.59599e-09
711,6.33243e-09
720,4.76851e-09
729,3.57224e-09
738,2.5936e-09
747,1.8097e-09
756,1.49953e-09
765,3.85171e-09
774,4.77921e-08
783,3.60373e-07
792,3.68162e-08
801,1.76716e-08
810,1.18199e-08
819,9.0534e-09
828,7.43713e-09
837,6.36663e-09
846,5.59643e-09
855,5.00887e-09
864,4.54064e-09
873,4.15463e-09
882,3.82755e-09
891,3.54391e-09
900,1.73221e-07
909,3.06665e-09
918,2.859e-09
927,2.66496e-09
936,2.48008e-09
945,2.30011e-09
954,2.12043e-09
963,1.93554e-09
972,1.7382e-09
981,1.51834e-09
990,1.26315e-09
999,9.75029e-10
1008,9.59759e-10
1017,2.39865e-08
1026,1.72529e-08
1035,5.84172e-09
1044,3.91874e-09
1053,3.1315e-09
1062,2.68183e-09
1071,2.37172e-09
1080,2.12785e-09
1089,1.91415e-09
1098,1.7062e-09
1107,1.47883e-09
1116,1.19184e-09
1125,7.59999e-10
1134,3.81022e-10
1143,1.94653e-08
1152,4.32828e-09
1161,3.01822e-09
1170,2.52821e-09
1179,2.25915e-09
1188,2.08138e-09
1197,1.95053e-09
1206,1.84731e-09
1215,1.76193e-09
1224,1.68888e-09
1233,1.62477e-09
1242,1.56741e-09
1251,1.51528e-09
1260,5.81674e-09
1269,1.42264e-09
1278,1.38064e-09
1287,1.34076e-09
1296,1.30248e-09
1305,1.26531e-09
1314,1.22866e-09
1323,1.19179e-09
1332,1.15356e-09
1341,1.11204e-09
1350,1.06322e-09
1359,9.96967e-10
1368,8.77219e-10
1377,5.00307e-10
1386,1.74181e-09
1395,1.28945e-09
1404,1.17451e-09
1413,1.11295e-09
1422,1.06963e-09
1431,1.03461e-09
1440,1.00383e-09
1449,9.75044e-10
1458,9.4652e-10
1467,9.16071e-10
1476,8.79368e-10
1485,8.23012e-10
1494,6.61836e-10
1503,1.5289e-09
1512,1.02144e-09
1521,9.44592e-10
1530,9.06091e-10
1539,8.79411e-10
1548,8.58079e-10
1557,8.39723e-10
1566,8.2326e-10
1575,8.08121e-10
1584,7.93971e-10
1593,7.80603e-10
1602,7.67874e-10
1611,7.55685e-10
1620,8.27664e-10
1629,7.32649e-10
1638,7.21698e-10
1647,7.1107e-10
1656,7.00731e-10
1665,6.90646e-10
1674,6.80779e-10
1683,6.71086e-10
1692,6.61507e-10
1701,6.51938e-10
1710,6.42174e-10
1719,6.31677e-10
1728,6.18347e-10
1737,5.76047e-10
1746,6.38763e-10
1755,6.1621e-10
1764,6.04984e-10
1773,5.95906e-10
1782,5.87678e-10
1791,5.7991e-10
1800,5.72439e-10
1809,5.65169e-10
1818,5.58027e-10
1827,5.50918e-10
1836,5.43659e-10
1845,5.35675e-10
1854,5.23038e-10
1863,5.49334e-10
1872,5.27023e-10
1881,5.18849e-10
1890,5.12178e-10
1899,5.06043e-10
1908,5.00201e-10
1917,4.9456e-10
1926,4.89076e-10
1935,4.83725e-10
1944,4.78492e-10
1953,4.73368e-10
1962,4.68344e-10
1971,4.63416e-10
1980,4.61153e-10
1989,4.53828e-10
1998,4.49161e-10
2007,4.44574e-10
2016,4.40065e-10
2025,4.35631e-10
2034,4.31269e-10
2043,4.26976e-10
2052,4.22751e-10
2061,4.18587e-10
2070,4.1448e-10
2079,4.10414e-10
